python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
1.10634,1.26704,5.74098,5.81718,3.81292,3.33131,1.35421,2.48711,2.19657,1.7201,1.29178,2.09102,2.92245,1.46294,1.47242,0.623615,1.47067,0.948895,0.991875,1.79852
1.18064,1.7636,5.76761,5.36419,3.31132,3.23107,2.45977,1.5002,1.5532,1.08694,2.14748,2.27836,0.812371,2.04622,0.605013,1.35338,0.676111,1.69253,0.75287,0.760355
1.61573,1.7677,6.22169,5.31376,3.15574,3.13065,1.89356,2.02288,1.65291,1.76093,1.7633,2.96486,2.69006,1.22434,2.1193,1.35064,1.76792,2.00614,2.15202,1.97858
1.94134,2.837,6.42411,5.67548,2.19205,3.06843,2.32369,2.69463,2.29733,3.51018,2.4275,1.4437,1.41189,0.83136,1.16423,1.53279,1.59282,2.23634,1.68986,2.83019
1.11828,1.19524,6.27229,6.30957,3.39449,3.64808,1.90689,2.09128,1.00285,1.10867,1.49289,1.42608,1.95261,2.85444,2.25325,1.28554,1.68304,1.71927,2.66191,2.98167
0.887438,3.24975,6.20262,5.7268,3.98822,2.36088,2.18114,2.28177,1.64738,2.46921,1.32772,1.6434,1.92629,1.37186,1.21089,2.23942,1.63482,1.54884,2.81432,1.03517
1.74484,3.10038,6.34213,5.35035,3.5063,3.62299,1.35524,1.52973,1.119,2.52912,0.876804,2.5214,1.32843,3.07857,1.50843,1.59094,2.21737,0.743097,1.55567,1.1589
2.39554,0.964207,6.72934,5.89297,3.40132,3.19773,2.07715,2.31061,1.11653,1.89117,1.98868,0.938957,1.10477,1.38737,2.8747,2.33637,0.895147,1.76054,1.87533,2.39874
3.00378,2.03144,5.20992,5.87444,3.22194,3.25327,2.47218,2.25271,2.78069,2.24082,2.27606,1.81497,1.2227,2.40398,2.12476,3.45247,1.93291,2.63881,1.10167,2.26885
2.49148,1.18871,5.60047,5.15863,4.54624,4.6144,3.02616,3.86576,2.19534,1.16295,1.73391,2.53881,1.58609,1.82912,1.26862,2.42129,2.26003,2.4688,1.89235,1.99383
