python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
4.86932,3.74114,6.69283,6.88771,5.39533,5.61185,3.19088,4.09083,4.4221,5.61608,4.19948,4.76168,2.97511,4.58701,3.99696,4.98735,4.35002,4.39069,3.99896,3.826
4.2709,4.50092,6.81989,6.33912,5.4064,5.62228,4.06766,5.86941,4.33316,4.60694,4.26067,4.7329,3.19754,4.31391,3.41708,4.61457,3.72623,5.57905,3.62997,4.26231
4.15816,4.29728,6.00122,6.57106,4.85291,5.0077,2.99848,4.67341,3.59121,4.28903,3.37975,4.72048,4.7785,5.77302,2.64355,4.6813,4.97036,4.77143,3.04151,4.94257
3.6419,4.67727,6.45876,7.15141,4.50611,5.05907,3.73976,4.2748,3.87531,4.88802,2.88295,4.71555,3.84516,4.53484,4.35947,3.64618,3.00673,4.52903,4.40691,4.90844
4.09525,3.95842,6.86555,6.15367,5.43808,5.75841,4.0545,4.81114,3.17491,3.96123,3.73582,4.89919,4.20645,4.98864,4.68464,4.32527,5.47294,5.48681,4.27092,4.2841
3.08268,5.31692,6.80268,6.66705,4.64775,4.68315,5.32083,4.55401,3.26891,4.91131,3.84976,4.05627,3.78627,4.28118,3.67219,4.97531,3.78986,4.44672,4.29339,4.88336
4.462,4.982,6.34896,6.49234,4.5384,5.42931,3.33791,4.68933,2.90965,4.23311,3.32665,4.20626,3.02706,3.97568,3.01806,5.25111,3.39068,4.09472,3.70289,3.71847
3.62617,6.31582,5.95834,5.91074,4.12332,5.21051,3.54265,4.99838,3.34049,4.30749,2.92507,4.16212,2.97596,3.85486,3.65676,4.08528,3.32445,4.55071,2.90433,4.91679
2.41328,5.06686,5.37797,6.04492,3.40625,4.72681,2.09657,4.51983,3.46838,6.45323,3.35243,5.04374,4.3463,6.46843,4.88807,4.33806,5.13437,4.27694,2.07737,6.40557
5.2604,4.45819,5.95198,6.20346,3.75144,5.80131,2.88647,5.69892,2.14988,4.62673,2.98589,5.58439,2.23674,4.56362,2.02157,6.37662,2.14209,6.43746,5.23657,4.28212
