python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
4.85773,4.93254,6.55123,7.06904,4.54169,4.80614,3.04324,4.52415,3.70927,4.37452,4.2607,5.17591,3.32529,4.90371,3.68822,3.66223,3.44683,3.67439,4.41799,4.48006
3.59674,5.36193,6.98467,6.59976,5.43091,5.21539,3.88272,5.59097,3.16502,4.65285,3.20494,4.57311,3.34753,4.2048,3.8248,4.17845,4.89114,4.55181,4.87487,4.63651
4.72559,4.51737,7.08758,7.13701,6.04302,6.58604,2.94189,3.75235,3.83531,4.1605,4.11094,5.39687,3.24999,5.56617,4.98187,5.40204,4.0552,4.72822,3.68908,4.24457
4.20647,4.49044,6.19423,6.46839,4.87908,5.87165,5.00668,5.70627,4.28455,4.45654,3.47817,4.61184,3.26829,3.87965,2.70231,4.20478,4.26105,4.09452,3.90001,5.51507
3.87897,3.88273,6.81259,6.5963,5.27981,5.17542,3.95431,4.71282,3.46326,5.26174,3.41568,3.94906,2.87472,3.78426,5.08195,5.47926,3.09673,4.565,3.59086,4.46202
3.61166,4.47172,6.66997,6.00932,4.54912,4.85992,4.4438,4.43749,4.11259,4.78918,4.18031,4.88239,4.16008,4.56969,3.28833,5.05332,3.49565,5.00069,3.22724,4.32711
3.34869,4.09235,6.26039,6.38944,4.61105,4.60383,2.86651,5.06712,3.37134,4.82735,2.79179,4.24492,4.42081,4.19493,3.65121,3.8718,4.4443,5.08365,5.07087,4.65048
3.32004,4.50243,5.95078,6.17593,3.95783,5.16019,3.22378,4.76803,3.62167,5.04062,3.13109,4.6187,3.14693,6.40942,3.31906,4.49095,3.15243,4.48314,3.4888,5.17221
2.48329,4.37833,5.542,5.95621,3.64268,6.22087,2.33428,4.25073,1.94783,4.44045,1.7369,3.80569,2.12603,3.94271,4.91296,4.26041,5.2343,6.48223,2.18426,4.39152
5.14345,6.19341,5.72555,6.145,3.41941,4.73331,3.27493,6.65059,3.0548,5.59058,3.69214,5.97655,4.41438,4.51099,2.15771,6.41639,2.16691,4.5716,4.55954,5.80584
