python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
4.48581,5.15589,7.09557,6.60669,5.97852,6.03078,4.21103,4.79372,3.28474,4.97087,4.06495,5.53578,2.78228,4.05035,3.74885,4.8146,3.67949,3.85804,4.44248,5.93482
4.30054,4.68602,6.79752,6.56647,4.4405,4.88084,4.48221,4.94177,4.75455,4.43354,4.13879,4.21608,4.17648,5.63543,3.90023,6.37907,3.71904,4.9691,4.81021,4.71566
4.02229,5.10706,6.61402,6.61761,4.64334,5.1967,3.45909,5.24947,3.88876,4.2848,3.40997,4.47994,2.65456,4.95488,3.70349,4.75818,4.48505,6.05851,3.70312,4.20914
3.97135,4.15154,7.13426,6.73329,5.03983,5.99093,3.92943,4.67558,3.12991,4.84218,2.74416,4.78381,3.91119,5.05183,5.29627,4.63576,4.59395,4.12808,4.47692,5.17847
4.47418,4.90821,6.76221,6.63456,5.18305,5.22669,3.34373,4.73075,3.76269,4.03153,3.9882,5.60825,4.47375,4.16109,3.66146,4.48174,4.38541,4.27295,3.96815,4.50776
4.35242,4.48174,6.12151,6.14549,5.02129,4.46236,3.54691,5.08328,3.30848,4.48326,4.86127,3.82855,5.03946,4.71731,3.25735,4.05401,4.15641,4.47132,4.44493,4.85796
3.58375,4.79277,6.63934,6.93193,3.95983,5.60262,3.34308,5.09974,4.03224,5.526,2.98978,4.58657,3.32076,3.74018,3.98527,4.86002,3.76314,5.31023,3.75228,4.53811
3.49936,4.67842,5.73154,5.90598,4.42158,5.12309,3.36371,4.41634,2.92806,4.70521,2.97626,4.39382,3.27864,4.69867,3.01808,3.99151,3.37236,4.77935,3.02211,4.2479
2.19904,4.30202,5.41872,6.14993,3.5626,6.20139,1.9975,4.48542,2.19724,6.05854,1.70556,6.52323,4.4321,4.25267,2.24796,4.22094,3.50427,4.37052,2.44252,6.06575
4.63044,5.64862,5.77343,5.92332,3.68541,4.79092,2.99697,6.03757,3.2221,4.45666,4.04035,4.17481,2.18825,6.5423,4.83756,6.37332,3.5682,5.47338,4.86065,4.40562
