python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
5.62455,5.55951,6.85999,6.52292,5.01196,5.7718,3.83776,5.13632,4.02983,3.67499,3.72242,4.26731,3.33669,5.1274,4.06732,4.515,4.6319,4.08824,4.28804,5.683
3.65492,5.0149,6.56709,6.57388,4.68402,5.22924,4.04085,3.92271,4.90916,4.20989,3.75832,4.40653,2.94827,4.18598,4.12184,5.49046,4.52914,4.89015,4.68381,4.29263
3.23914,4.272,7.08865,6.30028,4.95078,4.86479,4.27149,5.32972,3.54902,4.89796,3.57701,5.28321,4.3067,4.85835,4.83654,5.39287,3.50121,5.19731,5.53184,5.49068
5.10385,4.29157,6.65436,6.85213,5.61412,5.14396,3.4109,4.81617,2.59631,6.45013,4.264,5.4618,4.56177,5.21358,4.13011,5.45942,3.15997,4.2191,4.12725,5.12477
3.74788,6.42225,6.55454,6.48595,4.82344,5.95016,2.91193,4.38725,3.67516,4.92262,3.8967,4.81619,2.90687,4.80829,3.32246,4.20291,3.9903,6.27214,3.58632,4.71931
4.09782,5.75284,5.93399,7.27885,4.43183,5.62958,3.60474,4.25519,3.43973,4.13206,3.48811,4.72711,4.68722,3.82948,5.14069,4.80255,3.55601,4.53975,3.14196,4.41698
3.72551,3.79004,6.55064,6.10446,3.99009,5.14148,3.57412,4.58859,2.97457,4.66561,4.03994,4.2633,3.15066,5.03139,3.24882,4.70354,4.07295,3.63353,3.67277,6.34702
2.9384,3.75061,5.51897,5.96542,4.80316,4.55203,1.9105,4.90052,3.05411,4.75415,2.69386,4.42858,3.8949,3.9612,2.14488,4.35657,2.78008,4.88316,2.97673,4.49311
2.28429,4.33582,6.09863,6.06631,3.5721,6.0752,3.12575,4.30588,1.80668,4.33184,2.11213,4.50602,2.24593,4.32215,3.43421,4.50095,5.03932,4.47061,2.1788,3.92102
5.29444,4.92611,5.95979,6.22586,3.53768,4.74833,3.09344,5.96637,3.31042,6.37713,4.00237,6.47176,4.44831,6.44138,4.12609,5.55336,2.33274,5.11751,5.17584,4.39325
