python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
4.61831,4.3989,7.0965,6.75795,5.11143,5.71034,3.5631,4.71684,3.45035,4.02713,3.74616,4.68912,4.8487,4.59419,4.67566,5.21013,3.73127,5.51682,4.47174,5.09793
4.01204,5.1758,7.16641,6.57805,5.90135,5.37798,3.28349,4.25359,4.36931,5.43863,3.33889,4.73836,3.63915,4.55676,3.42479,3.57831,4.79917,4.77936,4.28288,4.57706
3.55246,4.27329,6.93292,6.71202,4.52946,5.30968,4.22275,4.62268,5.0133,4.88472,3.12059,4.59782,4.41377,5.55489,4.6173,5.15765,4.14264,4.29074,4.78998,4.80483
4.82782,5.02609,6.77951,6.75731,4.39799,5.33869,4.29466,5.27564,3.09075,4.5771,3.40574,4.00228,4.56802,4.48969,4.54786,4.87578,3.28658,4.50832,4.43476,3.77083
3.78441,4.05278,6.69942,6.69775,5.48508,4.89019,3.05167,4.30488,4.37893,3.91718,4.32655,5.30702,3.37011,5.37893,3.72325,6.29444,4.35724,5.25395,4.07224,4.61557
4.8371,5.26292,6.02573,6.00098,4.96124,4.82842,3.6843,5.13079,4.36,5.57818,4.22163,5.58291,3.35828,4.53649,3.45059,4.61493,3.62426,4.89249,5.15633,5.85439
3.31401,3.99622,6.30473,6.49152,4.24369,5.19058,3.55663,4.7096,2.75075,5.09694,4.41742,4.24669,2.98336,5.1462,3.2715,3.90165,3.87275,4.7492,3.45247,4.2102
5.45281,6.59283,6.38845,5.91512,4.28257,4.59933,3.20892,4.18164,2.91771,4.17213,3.22037,4.18241,2.90181,4.20317,2.91422,4.21025,3.59479,4.10961,2.89949,5.48569
3.19914,4.29262,5.42528,6.37493,2.9861,5.25489,1.91386,4.57397,2.21565,4.54601,2.09485,4.4902,1.8506,3.92682,4.76973,4.87696,3.26934,4.0905,3.66002,4.85646
2.39205,4.28462,5.72048,6.11047,3.66794,6.17851,3.13176,6.49813,3.20848,5.87651,3.69539,5.94673,4.46775,6.67711,2.34777,4.62011,3.6655,5.36713,3.65762,5.29601
