python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
5.14834,4.00772,6.77202,6.60219,5.09921,5.70386,3.39086,4.29032,4.17511,4.36841,2.98522,3.62131,4.72906,4.2703,4.02128,4.51503,4.35507,4.92575,5.18101,5.19388
4.60443,4.55889,6.93247,6.59321,4.74845,6.47265,3.93184,4.27852,3.38436,4.61138,4.59169,6.24165,3.13986,3.6562,3.94247,4.5659,4.59534,4.98384,3.83669,4.49346
3.71032,5.42231,7.12153,6.39027,5.66939,5.45666,3.72962,6.50726,3.22481,6.36004,3.53046,4.38723,4.21819,4.11821,3.09848,4.79521,4.09992,4.33343,4.83005,4.45904
4.62824,4.78797,6.63412,7.02835,5.28086,5.19087,4.5855,4.73607,3.9729,5.6284,4.61405,4.63691,4.04426,4.11274,4.26498,4.2501,5.74624,4.92537,3.44674,5.93501
4.25423,4.67363,6.83672,6.97081,4.98398,4.83767,3.78291,4.26859,4.28674,4.59281,3.42419,4.92569,3.15879,5.66699,3.08624,4.86113,3.8137,4.96664,4.72848,5.40534
4.31857,4.33465,7.17048,6.58876,4.52724,5.59977,3.42243,4.50876,4.55577,4.55535,3.65028,4.73319,3.96685,5.12111,3.40543,4.03921,4.55695,4.5152,3.79489,4.47157
3.59451,5.04291,6.60633,6.48154,4.1205,4.68312,3.46269,4.85668,3.15642,5.29324,2.81614,3.79402,3.26493,5.32163,3.56823,4.70347,3.3232,5.69399,3.05966,6.15907
3.11417,4.28536,6.27906,6.27076,4.56024,6.23968,3.13413,4.22597,3.08302,4.34979,3.75362,4.66847,2.96264,4.40313,3.37906,4.37188,3.00181,4.57515,3.60149,4.06429
2.46533,4.31887,5.93858,5.96205,3.12868,5.16311,3.21951,6.48256,2.05502,6.24326,3.13725,3.76824,1.9159,6.02817,4.88847,4.66099,3.24523,4.0941,2.27194,4.25408
5.26613,6.34409,5.52917,6.23264,3.52403,4.55393,2.50827,4.50482,3.30914,4.75108,2.99482,5.57108,4.12577,4.69986,2.00665,6.33801,3.69266,5.53853,5.03321,4.80617
