python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
3.353,3.60769,7.29366,6.70126,5.30478,4.99796,3.30667,4.49224,3.94253,5.68676,4.80616,5.21025,4.27331,3.75025,5.67956,4.9134,3.73607,4.83238,4.53831,4.65236
4.09607,3.78259,6.90398,6.77956,3.98971,5.42268,4.49011,5.44335,3.48493,6.22524,4.49583,4.25571,3.13077,4.79512,4.31448,5.31723,3.60965,4.90342,4.44984,5.22178
4.13461,5.63139,7.3327,6.89749,5.70169,5.9873,3.62969,4.1294,4.35096,3.90221,3.69126,3.87929,4.66095,4.37396,4.82725,4.69671,4.90124,5.55186,4.32557,4.44498
4.26012,5.0998,6.60188,6.82162,4.80538,5.51618,3.90406,4.64557,3.52014,4.45998,3.51761,3.89839,3.8214,3.93761,3.9615,6.08516,2.98839,4.47055,4.02693,4.79596
5.42882,4.85353,6.53507,6.50243,4.33656,5.52055,4.01784,4.26346,4.67244,4.63079,3.27275,5.26904,3.25009,5.68583,3.1038,4.4615,4.63194,4.82694,2.83773,4.19622
4.73703,4.81869,6.44513,6.63406,4.85846,5.01655,2.77265,5.4567,3.34145,4.39071,3.5186,4.04592,3.22418,5.07341,3.49919,4.52722,4.76221,3.78055,3.96653,3.69562
3.24008,4.67569,6.16547,6.11738,4.19581,5.01564,3.7085,4.09996,3.15625,3.8686,3.57369,4.59783,3.35372,4.02612,3.65097,3.64212,3.44395,4.44079,4.78126,4.49951
2.94362,4.66982,6.19976,6.18558,4.33472,4.69393,3.04306,4.78205,2.65824,4.85937,3.14845,4.71502,2.97045,5.04169,2.70261,4.55667,3.42703,4.13425,3.27955,5.16931
5.3803,6.46567,5.34891,5.90754,3.07109,4.59992,2.07773,4.28903,1.72875,6.34401,2.69561,4.93805,3.57265,4.49598,2.00192,6.40096,2.55957,6.47135,1.9587,4.62625
2.44954,4.22432,5.66865,6.11383,3.65459,6.31533,3.13482,5.99278,3.44763,4.27938,2.97605,5.57775,3.22028,5.56011,4.78967,4.3193,5.1805,4.54212,5.08823,6.17637
