python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
4.23477,4.85824,6.9331,6.7562,4.41257,5.09644,4.36804,4.9918,3.87525,4.59082,3.55991,4.46641,5.03159,4.82652,4.3178,4.68526,3.57296,4.2808,4.93484,4.79848
4.19912,5.86221,6.18259,6.78497,4.5213,6.24694,4.61166,5.68506,3.54822,4.85744,3.97991,4.9784,3.92155,3.72047,4.74076,4.97425,4.42438,4.62077,4.01018,4.54423
4.41841,4.52899,6.40919,6.40774,5.49164,5.26162,3.64086,4.60743,3.18964,4.42191,3.96222,5.33158,4.38904,5.63495,4.40194,4.72817,3.73088,4.551,4.92703,4.63216
4.71989,5.09295,7.12287,6.61627,5.22825,5.37522,3.49072,4.96958,4.19444,4.788,4.20021,4.09853,2.62756,4.28695,3.60313,4.55235,4.53577,4.19001,3.48983,5.55214
5.67785,4.56044,6.8458,6.75777,5.04086,5.15246,3.03456,5.16152,4.461,4.13474,3.30913,5.02459,4.14196,5.49217,4.25306,4.1645,4.10123,4.64898,4.7701,4.24858
4.04923,5.14897,6.43648,6.42431,4.96691,4.90025,3.92537,3.84214,3.88829,5.83995,3.77467,4.01969,3.72322,4.42277,3.61123,4.373,4.21757,4.56189,3.18073,5.16827
3.43232,4.34688,6.85775,6.31092,4.07464,4.55239,2.77146,4.82216,3.47127,5.0208,3.64109,4.56917,3.13864,4.2898,4.32401,4.38793,3.94586,5.03527,3.69326,4.28583
3.36499,4.37287,6.15576,6.13306,4.41062,5.04506,2.03991,3.87475,2.8403,4.09075,2.7726,4.96806,3.12307,4.25111,2.24829,6.02595,3.90825,5.27836,3.30282,5.32778
2.1206,4.17458,5.70604,6.17699,3.08231,4.58874,3.22225,4.27458,1.92383,6.16671,4.12788,6.59307,1.98765,4.76204,4.69289,6.12187,2.26812,5.64534,3.37908,4.06483
4.98774,5.97301,5.63096,6.09786,3.96988,5.93814,3.11084,6.51532,3.28593,4.40383,2.0591,4.40312,4.11867,6.01854,3.00851,4.54143,4.40215,4.34614,3.79168,5.52308
