python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
3.51171,4.43314,7.54149,7.11829,4.73248,5.52933,3.5624,5.08899,4.63996,5.52139,2.81106,4.88396,3.64016,5.33013,4.22264,4.89176,5.1329,4.78601,4.12537,5.95202
3.7551,4.06116,6.69826,6.76905,5.59086,5.13402,4.55455,4.12568,3.96404,3.99977,4.81055,4.17186,4.12738,3.95021,3.86885,4.10151,3.85241,4.82068,3.47651,5.39906
4.86654,3.95587,7.06101,6.67587,5.62107,5.87246,3.0265,5.39063,3.25785,5.73317,3.15431,5.50855,2.73539,4.74832,3.6426,5.178,3.71387,4.61239,4.94657,4.46151
4.85672,5.02081,6.78542,6.15163,4.96018,5.84678,4.55445,4.84679,3.87237,4.17593,4.96097,4.19307,4.68469,4.8013,3.11632,4.14549,4.12623,6.61343,3.84872,3.71766
4.96058,6.2137,6.05581,6.84192,5.88213,5.90911,4.26245,5.4022,2.97469,4.64706,3.99122,4.72773,4.35002,3.90994,3.76655,4.31582,5.03368,4.00118,3.13218,4.81101
3.51363,5.35823,6.84297,6.56377,3.49257,5.09349,3.80315,4.25553,3.71703,4.76176,3.20571,4.15072,4.2782,5.77177,3.19705,4.74019,3.36546,3.68352,4.7307,4.01832
5.51234,5.76982,7.08868,6.70435,4.58181,5.13459,2.70193,3.78883,2.98084,4.9343,2.90297,4.43804,3.42562,4.2148,3.08105,3.74005,2.69339,5.57788,3.80675,4.62554
3.40112,4.57373,6.11711,6.12552,4.26332,4.28756,3.42708,5.04483,2.59226,3.78999,3.02756,6.50643,3.46192,4.86349,3.70043,4.46818,3.26217,6.36724,3.02374,6.46043
3.14049,4.03614,6.41496,6.41895,3.26351,4.65355,2.92982,6.25255,2.18998,4.47731,2.17035,4.05975,2.27964,4.67564,4.91427,6.45804,5.11991,4.12889,2.28656,4.31536
3.8684,5.40642,5.46403,6.0435,3.88094,6.04632,2.36513,4.50834,3.34606,6.12708,4.07396,4.62699,4.42484,6.50517,1.78711,4.29251,2.45906,4.31347,5.27665,4.38034
