python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
4.24875,4.98329,6.49781,6.44641,4.67753,5.74258,4.16728,5.23709,4.97026,5.27056,2.77253,4.02914,4.13603,5.08118,5.54961,5.27016,3.08701,5.45303,3.88583,4.87784
4.47746,5.72728,6.23354,6.77415,5.78143,5.52575,4.13714,5.22047,4.459,5.05253,3.34237,4.69069,4.67389,4.89441,4.50462,5.03942,5.07346,4.02869,4.37931,4.65241
3.50014,4.63159,6.65108,6.22578,4.95403,5.10705,4.38663,4.28252,3.12566,4.39139,3.82109,5.70641,3.60033,4.62731,3.84,5.43776,4.28314,4.85644,4.96072,4.73961
3.65374,4.55784,7.03006,6.3945,5.09304,5.54386,3.30409,3.97636,2.61783,4.09266,3.80087,3.90928,4.12086,4.76072,5.06868,4.61681,2.92349,3.98122,3.83521,4.48361
3.29778,4.9527,7.19515,7.18962,3.54176,5.67258,4.65265,5.14263,3.65583,3.80552,5.13009,5.13726,3.76416,5.00779,2.56693,3.60277,3.07172,4.00881,3.89257,5.2581
4.61465,4.18811,6.79831,6.12858,5.60543,4.42155,2.76619,4.19938,3.53128,4.54017,3.4385,4.11399,3.45591,4.36685,2.92925,6.02152,5.32176,3.97993,3.87031,4.02857
5.40065,4.22153,6.07078,6.6793,4.79912,5.5138,3.45496,4.90573,3.43395,4.82705,2.73402,3.93643,3.56063,4.71144,3.73957,4.10668,5.04062,6.64039,2.1814,6.52594
2.92577,3.78068,6.52059,6.5725,3.90201,4.44687,1.93769,5.88693,3.58523,4.98277,3.549,4.2394,2.85247,3.85779,3.07675,4.33273,3.26698,5.65884,5.30628,5.19006
5.42241,4.29648,5.13483,5.80929,3.32032,4.66274,3.17197,6.39641,1.84926,4.37828,4.10447,4.76629,3.16523,4.56133,3.48108,4.49401,2.00435,4.32275,2.7508,3.66595
2.08899,6.54629,5.7823,6.07962,3.77832,5.78178,3.06697,4.33567,3.39903,6.5626,2.04978,6.64355,3.23361,5.40442,3.56998,5.5729,4.35328,5.65348,3.73579,4.45003
