python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
3.93767,5.81678,7.71856,6.4331,5.09027,4.22197,3.73762,4.43672,3.50237,5.03052,4.24444,4.88692,3.7769,4.88188,3.5392,5.18641,4.74659,4.30634,5.93964,4.04162
5.14343,4.71351,6.48009,7.39713,3.63836,5.28559,4.41977,4.03011,3.26369,4.36541,3.24202,5.50688,3.90377,4.20918,4.39296,5.04867,3.3661,3.35095,4.3857,6.16279
4.01373,5.6668,6.98544,7.40208,4.45224,5.15496,4.23667,5.04445,4.55862,4.63433,4.81699,4.04153,4.14766,4.68711,4.36242,3.61594,3.72529,4.21197,3.58441,5.68081
3.50408,4.17966,6.8499,6.53127,4.92897,4.87341,4.30458,5.23301,3.78167,5.44242,3.724,4.08719,3.37457,4.23132,4.36991,4.92423,3.77004,5.14349,3.5418,4.87491
5.60005,5.71782,6.38916,6.57059,4.76852,5.2189,2.47725,4.91629,3.62574,4.64433,4.2356,4.17581,3.00148,4.82069,3.40751,4.61679,4.42316,5.74564,3.94259,4.56211
2.88995,3.68591,6.80985,6.62567,4.92073,5.52069,3.40483,4.88658,2.88382,4.82491,3.13725,5.33815,3.15331,4.69428,4.02373,4.17306,3.03052,4.60312,3.33496,4.14845
3.03357,4.01792,6.22836,6.32685,4.8072,5.2292,3.1324,5.54356,3.92832,5.25459,2.97206,4.5414,4.06076,5.65444,3.13368,4.97761,3.91175,4.66336,4.33149,5.10146
4.78779,4.61313,5.55114,5.95418,4.30833,5.41215,3.74726,4.07957,3.13587,3.95446,3.0186,4.16342,3.24921,4.24809,3.34556,4.20925,3.22279,3.9368,3.53005,4.28608
3.87672,4.55389,6.09992,6.03881,3.45013,4.95334,3.17694,6.1034,3.27223,4.29284,3.15325,5.48243,2.09215,4.49363,2.28458,6.13762,2.29782,6.36779,2.38432,4.563
3.86236,5.37619,5.89652,6.24028,3.73911,5.64545,2.23235,4.3697,2.13539,6.5448,3.07713,5.60453,4.3378,6.33803,4.68937,4.4273,5.04694,4.2052,4.54027,5.66482
