python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
3.49568,4.2357,5.56186,6.41629,5.46394,4.66309,5.14265,5.74952,3.97637,4.37345,4.18269,4.78276,4.25174,5.25567,4.06729,4.16004,4.68382,5.08145,3.67682,4.22193
5.4703,4.44345,6.61743,6.73005,5.27886,5.27885,4.12141,4.42953,3.18708,4.6626,4.21807,4.36972,3.79874,4.21932,3.14457,5.39783,4.1638,5.15184,4.45631,5.02689
3.5842,5.18707,7.23668,5.84136,5.24771,5.70324,4.37179,4.9139,3.40948,4.16785,3.9621,4.05712,3.6714,4.61904,4.81941,4.25982,4.26969,3.70164,4.04207,4.43096
3.50048,5.26645,6.78495,6.58434,5.28197,5.17381,4.0756,5.61507,3.84247,5.0022,4.14799,5.68941,3.30328,4.67381,3.61503,4.56082,4.3389,4.51752,3.0143,4.42918
4.91158,3.71421,7.3278,6.95761,3.97148,6.45404,3.76266,4.76525,3.52278,4.78375,3.24092,4.09972,3.47824,4.97932,4.55345,4.33596,3.01438,4.20578,4.03427,4.47051
3.8903,4.11662,6.36952,7.19737,4.3889,5.22121,3.94959,4.44581,4.01715,3.67185,2.65952,3.79107,4.7181,4.36663,3.90547,4.21016,2.51098,4.41132,4.86469,5.31949
2.84291,4.33787,6.94927,6.56809,4.10991,4.73643,3.11746,4.65162,3.32562,4.93791,3.4854,5.1349,3.77847,3.81997,3.78481,5.03696,3.56291,4.35173,3.85562,4.35539
4.82869,6.44019,5.38618,6.3693,4.59267,4.80664,3.19484,4.94808,2.50012,5.2487,3.26803,5.22167,3.33207,4.89039,3.30829,5.47248,3.28166,4.4211,3.24349,4.49075
2.19015,4.3452,6.13792,5.90745,3.04205,4.63291,1.98048,4.34476,3.33845,4.49473,4.10845,4.41607,2.28072,4.73603,2.34337,5.88517,2.24858,4.81571,5.29728,6.51224
4.73596,5.89814,5.97413,6.10532,3.64372,6.15397,2.99236,5.86714,2.02098,6.32937,2.13493,6.52819,4.45233,6.48012,4.31125,4.38844,4.83134,6.00178,2.69432,4.43667
