python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
3.58048,4.06428,5.69711,6.92558,5.58135,5.4922,5.5991,4.79279,5.21734,4.94615,3.74656,4.20872,4.79362,4.73899,4.88752,5.43441,4.47244,5.21484,5.49366,5.15425
4.10199,5.05401,6.96043,5.93199,4.09498,5.48348,3.69992,5.01649,3.50488,4.27151,2.76404,3.78655,3.43871,4.11609,4.69866,5.00776,3.92491,5.17678,4.33763,4.66569
4.19895,4.58949,6.87494,6.75416,5.05477,4.75051,3.93529,5.60945,4.32636,5.83608,3.20534,5.71427,4.12286,3.9549,3.70372,3.85689,4.65859,4.95982,3.45558,3.67965
4.1814,4.86437,7.22092,6.23786,5.23927,5.19672,3.84115,4.42954,3.97966,4.44614,4.7624,3.97038,3.34865,5.0491,3.35776,4.05341,4.08093,3.89996,4.31633,4.87928
4.2791,4.85091,6.63083,6.68482,4.45249,4.65025,3.09681,4.61179,3.10399,5.51965,3.31012,5.68537,4.0845,4.58421,3.25641,4.46967,4.55519,4.38025,3.49285,5.58661
4.09578,3.98214,6.50196,6.82826,4.04931,5.16145,3.53501,4.99164,3.88271,4.34927,3.98959,4.1918,3.25543,4.82228,3.03583,4.13418,3.54842,4.59124,4.97145,6.31888
3.55666,4.8618,5.91513,5.9682,4.64743,4.98159,3.16836,4.14756,2.56638,5.19823,4.11554,4.78495,3.63815,4.64959,2.83477,4.29393,3.3142,4.22732,4.05772,4.07949
3.69993,4.25222,5.37621,6.17636,4.386,4.66094,1.93732,5.35778,3.45736,6.36496,2.70462,4.74499,3.01603,6.46574,4.76963,4.95905,3.11728,4.5013,2.8708,5.04735
2.17938,4.58755,6.29993,6.44159,3.26511,5.47258,3.7213,4.32054,3.30527,3.88348,2.10887,4.44232,4.32977,4.77402,1.91745,6.38915,2.13803,4.22944,5.18966,5.90747
4.75155,5.8823,5.71133,5.88646,3.7511,6.26335,3.14403,6.46491,2.14996,4.42235,3.7288,5.95773,2.23195,4.27727,4.71037,4.67428,4.98606,6.22415,2.49681,4.48302
