python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
3.80463,5.89902,6.89622,6.88372,5.53209,4.53349,5.46858,4.77273,3.71351,4.70738,3.09054,5.47767,3.96916,5.03588,4.7023,4.85076,3.56819,4.57864,3.93579,4.40064
4.58977,4.09232,7.0962,6.66418,4.85327,5.85754,4.14042,4.89183,3.10404,4.4796,3.54538,4.01772,3.65785,4.76131,3.77315,4.75827,3.23624,5.23626,4.44082,3.93846
6.14492,6.28313,6.89295,6.44406,3.33538,5.01045,3.98823,4.95353,5.28031,4.12149,3.84924,4.74834,4.51783,3.98866,4.17972,5.01958,4.77871,4.32374,3.10099,4.51908
4.65711,4.97701,6.63804,6.31749,5.08507,4.76364,3.43587,5.69732,4.31087,5.56873,3.29123,4.08829,3.98322,5.2766,4.49586,4.23129,4.5655,4.24318,2.879,4.73493
3.8849,4.89763,7.02019,6.47743,4.45146,5.74373,3.6102,3.90963,3.4544,4.16129,3.89358,4.46863,4.70123,4.57831,4.52927,3.69376,4.04902,5.03487,4.84575,5.95016
4.58856,4.53076,6.26316,6.68194,4.46689,4.99118,2.78269,4.72988,3.45173,4.69408,5.29423,4.78899,3.67445,4.98641,4.07426,5.52758,4.11901,4.77633,3.44809,4.10392
3.57188,4.62634,6.30372,6.69665,4.29478,5.15586,3.44169,4.41764,2.82204,5.15709,3.62612,5.09678,3.41213,4.89115,3.22878,4.91393,3.22124,4.90898,3.78524,4.67001
3.2449,4.67587,6.51733,7.03068,3.32045,4.7241,3.37899,5.062,3.00196,4.37029,3.57057,4.5624,3.43309,4.18655,2.5084,5.21896,3.42517,6.32118,3.50985,3.84727
5.22089,4.28179,5.2967,5.88246,4.3485,4.70088,1.80194,4.17253,2.10915,4.33895,3.01729,4.55641,2.06915,4.46623,3.37062,4.65881,1.97459,4.31372,5.27497,6.417
2.60178,6.20648,5.86684,6.00836,3.85768,6.1619,3.21632,6.51577,3.42637,6.51844,3.02134,5.58808,3.77978,5.61519,3.52868,5.57056,4.9536,4.30758,2.39345,4.38912
