python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
2.92962,4.89274,7.32844,6.95718,4.69789,4.60912,4.24944,6.66839,4.46375,5.03981,4.56313,5.56988,4.76816,4.52377,3.73367,4.29306,5.55929,5.33606,5.09663,5.6005
3.78875,4.57413,6.7964,6.83794,5.7571,4.92373,3.57093,5.58387,4.12079,5.50661,3.03993,3.60933,3.63453,5.5892,4.48875,6.43314,4.17397,4.45545,5.0006,5.6738
4.68962,4.15319,7.34228,6.82769,4.81649,5.94979,4.43737,4.44045,3.72217,4.3291,3.73171,5.4605,4.94535,5.43815,2.90215,5.05962,4.21009,4.65795,4.12846,5.3205
4.65272,5.88729,5.72743,6.56738,4.12057,5.26828,4.41726,4.55619,3.13819,3.92028,3.65748,4.91349,4.1297,4.42998,4.92207,5.15839,5.05129,4.21008,3.53378,4.43958
3.77023,4.04055,6.63662,6.00022,5.49266,4.92129,3.79813,4.10091,3.40743,4.78383,3.98101,4.50361,3.68773,5.36702,4.23131,3.88091,3.5055,5.55074,3.22298,3.88747
5.40974,4.32254,6.30818,6.39197,5.12513,5.66941,2.9236,4.92868,3.24793,3.7679,3.23924,4.91277,4.46386,5.32087,3.0426,4.89988,3.62043,4.83202,2.97932,3.83619
3.80673,4.75904,6.77868,6.65736,4.50434,5.15305,3.62592,4.88845,2.70872,5.0045,4.50333,4.31356,2.71723,3.84896,4.29895,4.06849,3.54964,3.78367,3.75538,4.14754
4.69424,5.48419,6.2145,6.31357,4.18158,5.07469,3.39216,4.42827,3.38542,4.78473,1.83985,4.58997,2.94748,4.39932,3.12254,4.67775,2.93044,6.07644,3.82375,4.88749
4.47666,5.6736,5.87486,6.22098,3.42161,4.85203,1.97273,4.25527,2.10081,4.26895,2.84134,4.29531,1.84805,4.29205,1.8901,6.26798,3.2655,4.48258,2.25491,6.54378
2.49146,4.3133,5.5154,5.89852,3.98119,6.01418,3.05878,5.89613,3.54168,6.65347,3.85685,6.23976,4.1357,6.11768,4.81826,4.23647,3.67064,5.42721,5.34,4.18875
