python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
3.50327,3.57095,7.10158,7.66028,5.14248,5.57047,5.19903,5.37745,3.82385,5.5901,3.55133,4.41913,4.26675,4.44672,3.35752,4.21423,4.44843,4.88935,3.77392,4.28862
4.65932,4.82198,7.0294,6.72381,5.12626,4.90707,2.53987,4.31305,2.98842,4.61822,3.85164,4.50254,3.6064,4.83625,4.38675,5.90356,3.53446,5.1393,3.9287,5.75401
3.01622,5.57316,6.90694,6.74975,5.35081,5.49182,4.63017,4.17506,2.58606,3.94835,4.36449,5.20598,4.46653,4.86043,4.66101,4.1193,3.916,3.93185,4.03464,5.19985
4.29299,3.85533,6.64145,6.5451,4.61129,4.86479,3.89336,5.93227,5.03148,4.32711,3.93879,4.36999,3.75146,4.62578,4.39436,4.96103,3.76009,4.60719,4.71113,4.40413
4.4926,3.91621,6.56965,6.57643,5.19165,5.65393,3.94033,4.03393,3.2485,5.06402,3.63996,5.12932,3.00135,4.39697,3.22843,4.2033,4.48167,4.63259,4.89881,4.41473
4.08811,4.52548,6.8876,6.62181,4.3861,5.25482,3.14758,5.86714,4.47512,3.85223,2.58717,3.79907,4.05306,4.61216,2.83238,5.05707,3.64454,4.88259,3.37386,4.22007
3.35569,5.10829,6.36128,6.49773,3.88714,4.88743,3.4423,4.48337,2.73586,4.23447,3.129,4.24016,4.57676,5.38078,3.24101,6.50578,3.42872,4.52145,3.52719,4.239
3.0308,4.66816,5.32863,5.87582,4.4822,4.77553,2.09174,4.34246,1.95843,5.1061,3.08277,4.69056,3.1279,5.01602,3.32514,4.28462,3.20839,4.26106,3.06094,3.90644
2.31041,6.00996,6.1213,6.08385,3.68136,4.66927,3.18039,4.29873,3.38096,4.46075,2.28798,4.48164,4.38343,4.71923,5.01187,4.53901,1.99312,4.27699,5.01692,6.19403
5.07247,4.52559,5.7497,6.1199,3.28105,6.20806,2.95189,6.45141,3.46502,6.42458,4.03782,6.44965,2.16666,6.51227,2.0704,4.20616,5.12627,6.37341,2.27136,4.68563
