python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
4.5231,5.07203,6.71058,6.53405,4.86833,5.16556,4.35311,5.16377,3.70012,4.28627,3.42645,4.30431,4.11106,4.64118,3.55899,4.22584,4.74483,4.81091,4.50602,5.7053
4.0739,4.55492,6.8737,6.6239,5.8338,5.43793,4.40914,4.5536,3.71598,4.17307,3.82445,4.50791,3.85792,5.37806,4.05122,4.81751,4.41057,4.81921,4.34053,3.82608
3.276,3.99779,5.75985,6.51289,5.06126,5.04116,3.47891,4.85089,5.17332,4.33472,3.30319,4.78104,3.92564,5.40697,4.35867,5.26402,3.37292,5.04372,4.39195,4.16058
4.83688,5.57678,6.80342,6.17297,5.19348,4.86887,3.71026,4.41141,3.13144,5.35733,2.80491,4.16884,3.39338,4.44025,4.96982,4.64425,5.78155,3.92563,2.84963,4.7425
4.49248,5.03401,6.85855,6.73088,4.59806,6.13491,3.78492,4.29856,4.85955,4.11836,3.55202,5.03829,4.79856,4.97161,3.91033,4.69233,3.8505,4.4174,3.86665,4.85245
3.25924,4.40076,7.24333,7.03765,4.19832,5.72908,3.35803,4.93749,3.17794,3.95899,4.03485,4.24017,2.55771,3.97493,4.12486,5.66217,3.38131,6.19664,3.38579,4.55898
4.02203,4.35659,6.4327,6.71384,4.26108,4.54303,3.92976,4.83292,2.7675,5.80481,3.1959,4.77038,3.93347,4.635,3.09881,4.36769,3.42728,4.25337,3.40415,4.38514
3.29537,4.52029,5.96832,6.17613,4.11337,4.9733,2.75647,3.95731,2.08435,4.63938,3.29603,4.28551,3.0311,3.62415,3.90908,4.68149,3.05297,4.7986,3.33209,3.72666
2.22887,4.12192,5.76268,6.03317,3.3556,4.74367,2.50738,4.7922,2.99374,6.46836,1.76926,4.68309,3.67602,4.7837,4.58733,5.91927,1.92675,4.03633,2.20746,4.94473
5.21624,6.21656,5.65042,5.94101,3.75941,6.28126,2.99684,5.93642,3.40154,4.65158,4.00552,6.3969,3.19043,5.42529,2.38817,4.77113,5.14697,6.4268,5.13049,6.28979
