python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
4.43171,4.66067,7.2118,6.56741,6.01544,5.82967,4.4335,4.46313,3.81183,5.02473,3.19062,4.26163,3.71449,4.16258,4.39954,4.70957,5.05375,4.69374,4.81313,5.22963
4.36971,5.03137,6.90817,6.17709,5.33022,6.57907,4.24096,4.7085,3.55101,4.65409,5.468,5.3082,4.21966,5.15696,3.81241,4.24213,3.87491,4.55545,3.20893,5.5533
4.91541,6.7607,5.95923,6.89222,3.63852,4.51962,4.24241,4.95693,4.18437,4.52346,3.97199,3.76996,3.22176,4.57065,2.78991,4.53973,3.37389,4.60779,4.4806,3.75666
4.42441,4.78007,6.86332,6.77267,4.99601,5.40588,2.8837,4.08112,3.80739,4.45273,4.60123,3.9815,4.71512,4.66633,3.50375,4.872,5.01546,5.16736,4.77359,4.37704
5.70005,4.31948,6.7651,6.91416,4.70899,5.4821,4.04729,5.48879,3.00167,4.74989,3.52119,5.65955,3.25626,4.47928,4.27276,3.91671,3.67249,4.40168,3.40656,5.21018
3.83943,5.05836,6.88909,6.68763,5.39498,5.45493,3.57384,4.04602,3.33365,4.44488,3.13574,4.84153,3.30019,4.73027,3.71779,3.84219,4.64956,4.76845,4.24345,4.67942
3.05959,4.43118,6.249,6.4001,3.80232,4.84292,2.9941,5.56357,3.78177,4.30382,3.57736,5.87864,2.72461,4.82478,3.58193,4.41384,3.23087,4.12033,4.82416,5.26676
2.25721,4.25373,6.13496,6.06854,4.46444,4.53931,3.67256,5.00492,3.01235,4.68721,2.74292,4.74314,3.16935,4.2132,3.57766,5.36882,3.37288,5.78203,2.25882,4.21198
3.18612,3.92284,5.4996,5.942,3.7175,6.17215,1.89981,4.27843,1.93809,4.36156,4.01485,6.40042,2.60882,3.81133,2.82142,4.93986,3.41531,4.24932,3.3314,5.85726
4.97019,5.9139,5.95327,6.09673,3.66722,4.845,2.96049,5.75824,3.3977,6.44215,2.19108,4.41315,4.32996,6.34115,3.6126,5.57377,3.70261,5.56237,4.56291,4.18091
