python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
5.16946,5.2054,7.16378,6.50145,4.82987,4.83163,4.99863,5.11746,3.72486,3.85332,3.79192,5.17559,4.20798,5.21561,4.09163,5.24494,5.68634,4.9087,3.27001,4.15139
3.83493,4.75085,6.91611,6.64594,4.89536,5.28472,3.28713,5.58126,2.7818,4.33627,2.75234,4.23678,3.8261,4.90616,3.80518,5.28184,3.95379,3.8378,4.06959,4.73632
4.29608,3.89863,7.03658,7.08664,5.2818,5.58882,5.10774,4.80781,3.79614,6.05857,4.05894,5.13753,4.18259,4.904,4.47769,5.22475,3.70597,5.69971,4.92504,5.33611
4.04648,4.97982,6.67154,6.63452,4.78216,5.44453,3.91899,4.18632,4.08235,4.15366,3.88752,4.03333,2.36044,4.66152,3.86547,4.27147,4.10931,6.00426,4.33326,5.0297
2.84882,4.4026,6.59153,6.7827,4.76595,5.78077,3.96338,4.43252,3.65836,4.74571,2.96635,4.79373,3.52465,4.25249,4.31568,4.98225,3.14569,4.80071,5.24395,3.55659
3.68043,4.83002,6.79089,6.71149,5.32134,5.33451,3.55122,4.4908,5.35501,4.80054,2.96665,4.06441,3.86581,3.88662,3.15318,4.24898,3.48424,4.61804,3.78272,4.92923
3.37568,3.71558,6.35091,6.01458,4.22105,5.43749,2.97279,4.59008,3.57398,5.55525,3.73734,3.75677,3.0734,4.38129,3.38819,4.46898,4.61715,4.20199,2.89947,5.90009
3.94835,4.71419,5.85868,5.88271,4.7287,4.99706,3.35822,4.9764,2.9246,4.3787,3.13556,4.14073,3.18989,4.75264,3.46062,4.20729,2.91472,3.83127,3.95394,4.28823
2.38765,6.24439,5.80359,6.35058,3.1258,4.62177,2.12625,4.58436,1.80448,4.29706,2.0277,4.44715,1.85771,4.1719,1.76811,4.17089,2.04051,4.23316,4.83469,4.19452
5.22505,4.44782,5.37437,6.18959,3.73214,5.58298,2.94935,5.45932,3.38887,6.25741,3.76385,5.94185,4.38241,6.37445,4.95096,6.47578,4.49621,5.90073,2.08649,5.95904
