python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
3.21698,4.09762,6.91569,6.16346,4.75159,5.42587,4.98674,4.19888,4.32205,5.54642,2.99544,5.502,4.0724,5.05735,4.27726,5.11949,3.5703,4.80524,3.84033,4.60382
2.98915,5.06728,7.02157,6.89174,5.28435,4.64802,3.93587,5.38214,3.8657,4.58717,3.76607,4.23108,4.19866,4.80729,3.67434,6.05524,4.79751,4.20033,4.6336,4.76914
3.84202,4.41193,6.10267,6.71518,4.74543,5.21958,3.52095,4.47065,5.08179,4.61333,4.40294,3.77318,4.67196,4.1263,4.79936,4.38543,4.36653,5.30606,4.22405,3.90554
4.48364,3.21622,6.68146,7.45346,5.22416,5.82079,3.6409,5.56178,3.77673,4.6937,4.48309,4.71637,3.39434,5.0182,3.18982,4.30299,3.43112,4.68274,3.21665,4.21229
3.77881,4.19196,6.95306,6.32838,4.68023,5.60076,4.03098,4.40607,3.83353,4.79907,3.30025,4.32835,3.67332,4.59321,3.68465,4.38984,4.2199,5.19906,4.38024,3.83162
3.73039,4.1094,6.49762,6.5073,5.48995,4.80004,4.71388,4.68131,3.39198,4.85676,3.35434,4.50499,3.01675,4.66878,3.57427,3.97528,4.18672,4.41105,3.41661,4.66348
3.51713,4.21244,6.75438,6.36932,4.57694,5.87364,3.55182,4.61637,3.5288,5.10212,3.17575,5.8034,3.76861,4.90252,3.15928,4.45232,3.74867,4.19537,2.91745,5.77956
3.39304,4.53944,6.29987,6.51469,3.33994,4.70503,3.32777,6.05242,3.02936,4.80881,3.14618,4.21573,3.6373,4.65895,3.12685,3.9984,2.01424,4.4553,4.00245,5.02751
2.39239,6.44936,6.24344,6.23228,4.03926,6.29453,2.88943,4.38359,1.89252,4.23299,1.90785,4.26439,4.25821,4.64009,2.87205,4.42813,3.17828,4.31664,2.26381,4.41003
5.48804,5.05842,5.56973,6.05143,3.75576,4.83418,2.44968,5.51246,3.06456,5.81544,3.99618,6.43004,2.06893,6.1973,3.67947,5.62386,4.89283,6.13998,5.22439,6.37932
