python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
4.63779,4.72135,6.5215,6.90308,5.7672,4.78671,4.71603,5.16111,4.27749,5.35681,4.4046,5.70908,4.94938,4.11842,4.0391,4.80404,4.57339,4.95745,4.47161,4.39265
5.355,4.56024,6.60579,6.42011,4.78643,6.69171,3.87418,4.95448,4.17213,6.01346,3.61415,4.04618,4.24363,5.76647,3.27341,6.64665,3.9755,4.66261,3.89374,4.62649
4.216,5.75366,6.67507,6.42279,4.90881,5.56707,3.71303,4.30443,3.07835,4.35465,3.12039,4.52952,3.53856,4.81906,4.42086,4.44462,4.07971,4.68252,4.20904,4.17064
3.54882,4.71124,6.41441,6.61006,5.04076,5.67728,3.45812,4.09706,4.65965,3.8647,5.30337,4.91564,3.84912,6.07797,4.95239,5.06708,4.53495,4.32921,4.64614,4.7113
5.32003,6.22162,6.63791,6.7146,4.70393,5.06543,4.16251,5.48395,3.41435,4.49626,3.29635,4.77386,3.28427,4.23584,3.92452,4.29841,3.96265,4.47096,4.86379,4.72627
4.04758,4.23991,6.53807,6.06051,5.51926,5.27299,3.33371,4.62427,3.24687,4.87398,2.66486,4.41749,4.69152,4.3883,5.17239,4.382,3.82567,5.08065,3.54718,5.37765
3.3432,4.06862,5.91739,6.83855,4.25639,4.76748,2.87106,4.47017,2.67324,4.83718,3.24196,4.68364,2.40174,4.24148,3.05625,3.98062,3.47669,4.7034,3.37684,4.3806
3.27045,4.55752,6.17304,6.02908,3.63651,4.84452,2.04019,4.88238,3.26052,3.89351,3.5408,3.99371,3.36312,3.71896,3.388,5.49711,3.06391,4.04507,3.6387,5.17241
2.10961,6.44652,5.91252,5.95458,4.13808,5.04325,3.12013,4.33242,2.16382,4.46169,4.10969,4.53746,1.98469,4.33604,3.12186,4.6469,1.95745,4.21348,3.35177,4.8138
5.43238,4.23167,5.48061,6.18503,3.44952,6.19762,3.09761,6.49622,3.32917,6.27487,1.85333,6.56225,3.91452,5.90874,3.49799,5.3849,4.43828,5.81843,3.72429,5.35195
