python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
5.26605,4.94301,6.91199,6.51806,5.76595,5.49944,3.61241,4.52787,4.51683,3.83298,5.44616,5.60562,3.70156,5.50593,3.00907,4.21887,4.24088,5.20569,5.14176,4.76143
4.66979,4.30468,6.78972,6.50149,4.19509,6.43446,3.76647,4.31385,3.89616,6.39751,5.07588,5.48067,3.45935,4.08192,4.57238,4.53282,5.24946,5.25359,4.03575,4.53484
3.9153,4.87242,7.12911,6.66646,4.91587,5.55102,4.31495,5.64178,3.88798,4.47997,2.8893,5.14092,3.82773,4.33946,3.50655,5.29563,4.92482,4.4744,3.4535,4.29935
3.62652,5.67168,6.72288,6.26901,5.14487,5.28789,3.72553,5.61766,4.98621,5.05289,3.91698,4.36821,4.87683,5.47857,4.3904,4.96799,3.28575,4.2183,3.64083,4.44196
4.54351,4.64771,6.18595,6.17173,4.68664,5.10786,3.08177,4.2788,3.60275,3.7591,4.29318,4.46289,2.85822,3.88155,5.02527,4.94635,4.52222,5.19704,4.4725,5.36007
3.30557,5.27158,6.38449,6.80314,5.51701,5.57529,4.76279,4.56947,2.67439,4.62605,3.29619,4.47923,3.51417,4.59039,3.3447,4.98348,4.3214,6.49643,3.83596,3.73073
4.83944,4.51656,6.23047,6.22011,4.13203,4.81185,3.35726,4.49604,2.98955,5.75835,3.25885,4.02352,3.57317,4.30837,4.47798,5.57454,3.15468,4.38508,4.78748,5.29725
4.41675,4.12722,6.16003,6.65075,4.33365,4.77812,3.08306,4.12544,3.42551,4.582,2.89902,4.09622,3.38591,4.24554,3.33102,3.58436,3.62404,4.15958,2.83813,4.99678
3.054,4.3833,5.69471,6.13615,4.37746,5.18039,3.04152,6.40805,2.24256,6.00894,3.98817,4.4954,1.83938,4.80245,3.44467,4.30624,5.0503,6.41005,5.37038,6.55582
3.97711,5.52205,5.60783,6.02191,3.31402,5.58133,2.34331,4.51152,3.23222,4.30329,2.19556,6.18461,4.36152,6.45127,3.4066,5.4375,2.51306,4.48652,2.36491,4.34533
