python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
4.02697,4.35845,7.29576,7.19841,5.33049,5.30713,3.9203,5.32832,3.39281,3.89387,3.10811,4.86115,4.40367,4.18085,4.43721,4.69567,3.14979,3.91657,3.21,4.09857
4.05452,4.51517,6.79548,6.90365,6.38012,6.44611,3.24075,5.41216,4.55849,4.86679,3.7072,4.39006,3.61563,5.10677,4.88248,4.13522,4.73634,4.41058,4.38581,4.93349
3.28869,4.40367,7.13556,6.65806,5.28289,5.19631,4.86384,4.90568,3.72267,5.31052,4.74434,4.17642,3.46396,4.2805,4.22201,4.56787,4.08194,5.28686,4.74612,4.91074
3.656,4.19577,6.52668,6.41805,3.31522,4.46031,3.72766,4.44984,3.90192,4.80675,3.57887,4.55367,3.47138,3.78841,3.73582,4.14423,4.75378,4.63006,3.90928,5.24267
4.08901,5.91994,6.64312,6.55921,5.17883,5.26982,4.24366,4.25195,3.26595,5.40375,3.44856,4.22678,4.6461,5.10818,3.46406,4.6136,5.14878,3.89628,3.27439,4.46999
5.49695,3.85449,6.46133,6.56818,4.7851,5.39727,3.44439,4.83385,2.72336,4.24408,3.30776,4.59036,3.58934,5.00925,3.29979,5.53432,3.40421,5.44847,3.97899,4.90321
2.92226,4.65538,6.14235,6.1055,3.87245,4.39512,3.03928,4.32328,3.00919,4.70565,2.8849,4.97303,2.84979,4.34782,2.19912,4.94573,2.28532,6.31596,3.03303,4.02869
3.34086,4.22699,6.23003,6.23831,4.56772,5.47869,3.14585,4.88982,3.26017,4.03056,3.15549,4.32994,3.25156,4.65556,2.73814,3.81888,3.47389,4.5244,3.69768,6.40123
2.59406,6.44515,5.81754,6.1748,3.75569,6.11842,2.05143,4.33489,1.95611,4.30746,1.90655,4.39242,4.3625,4.27179,3.62452,4.60506,3.05183,5.9252,2.35843,3.56888
5.37832,4.6939,5.44763,5.89923,3.48463,4.81781,3.16614,6.19798,3.53268,6.55692,4.1413,6.55781,2.13938,6.19727,4.59182,6.11755,4.89295,4.01756,5.26068,4.56048
