python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
3.37021,4.31074,7.18633,7.2668,4.39825,4.74035,4.05142,4.52536,3.82711,5.13704,5.56024,5.43462,3.87678,4.47823,4.35066,4.47766,5.3432,4.76072,4.68981,4.68875
4.03389,4.25734,6.99214,6.65518,5.54324,5.6373,3.62285,5.23474,5.05863,4.36491,3.68378,6.03661,4.18505,5.58509,4.20299,3.72445,5.08981,6.12574,3.71407,5.33091
4.3839,4.53708,6.29874,6.72829,4.46329,5.91352,3.90486,4.86284,3.27592,3.77519,2.92616,5.13916,4.10869,4.33028,3.28237,4.95983,4.80796,5.8197,5.06879,5.12158
3.37477,4.71382,7.04574,6.86564,4.98187,5.23682,3.93258,5.29262,3.36951,6.10597,2.69591,3.97009,2.92435,4.59675,3.72364,4.77728,3.79936,4.48597,3.18594,4.44073
5.00961,5.92575,6.75382,6.69029,4.48182,5.08019,3.90941,4.05107,4.56507,4.86984,4.65676,3.74137,2.77534,4.46071,2.78727,4.47672,4.07772,5.20921,4.56905,5.87147
3.91494,4.11399,6.41673,6.0641,4.90717,5.57491,3.75262,5.1867,4.43356,5.09159,3.70893,4.28323,3.74399,4.62493,4.01409,4.79687,3.79702,3.7415,4.68798,4.53592
2.24343,5.01047,6.19694,6.60697,4.43258,5.11734,3.67139,4.31337,3.4809,4.58916,3.44444,6.50546,3.52992,4.2616,4.127,3.88675,3.40044,4.97699,3.78078,4.50938
3.75334,4.47723,5.98489,6.10416,4.02132,4.56305,2.90435,4.53031,2.84977,4.38755,2.97641,4.74276,3.54318,4.56238,5.15733,5.78056,2.86008,6.14768,1.90144,6.28389
3.78365,6.30167,5.39313,5.85088,3.21469,4.67668,2.25465,4.6393,1.86148,4.34146,1.95668,4.63233,2.33371,5.68986,3.36876,5.06925,4.91341,4.82494,5.12982,4.22631
5.30044,4.41446,5.8366,6.16218,3.54124,6.26878,3.03867,6.42034,3.43597,6.46907,4.09703,4.29088,3.8848,4.62361,3.44307,5.54452,2.48008,4.36384,3.42537,4.65126
