python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
4.04769,3.96834,5.51241,6.91463,4.28546,4.53666,3.8595,4.61399,4.47751,4.42548,4.83237,5.13157,3.72277,4.83248,3.41182,4.67473,5.13521,4.63229,3.71234,4.55933
4.91026,4.58641,7.09321,6.70904,5.14564,4.85006,2.62201,5.11278,5.40544,4.1209,3.74557,3.56291,3.25582,4.00874,4.98,4.1543,3.87536,5.60588,3.55713,5.71295
3.58284,4.01469,7.42131,6.72865,5.046,5.31582,3.97202,4.13815,3.73081,5.58723,3.23872,4.11523,4.63843,5.26128,4.09094,5.34441,3.6328,5.50111,4.17577,3.90582
3.52967,4.3766,6.66518,5.97743,5.39746,4.64497,3.5751,4.26495,3.57915,5.11966,3.42173,4.46767,4.1172,4.54329,4.12041,4.7617,5.02714,4.51798,4.4858,4.02581
3.27577,5.27879,7.20011,6.18599,5.24318,5.25437,4.11603,5.0063,2.7985,6.00777,4.19652,4.94973,3.40616,5.09322,3.47299,5.31825,4.32973,5.02058,2.82815,4.93968
5.75886,4.72255,6.25028,6.73395,3.6328,6.22993,3.96501,5.32769,3.42775,4.44296,4.10697,5.74748,2.52631,3.99957,3.25989,4.27845,4.00606,3.98042,4.7305,4.25713
3.42622,5.94268,6.09388,6.41314,3.9104,5.7327,3.35579,3.95902,3.44375,4.32283,2.63388,5.57678,3.65969,3.9323,3.04745,5.05645,4.73574,4.46704,3.31728,3.78897
2.52432,4.26083,6.34499,6.15548,5.34086,4.44462,1.72912,4.94675,2.86028,4.92296,3.48592,4.06313,3.42357,6.29683,3.29715,3.99187,2.85123,5.18163,3.62715,4.44629
3.54261,6.25158,5.59983,6.21617,4.37661,5.18662,2.93864,4.21492,2.01802,6.59671,2.38289,4.455,4.40175,4.15146,2.46669,6.58599,3.15225,3.80648,2.368,4.8649
5.32199,4.64341,5.88496,6.04164,3.39418,5.61363,3.28074,5.95681,3.33146,4.22416,3.71332,5.94957,2.36004,4.74953,5.03033,4.53677,3.60573,5.24284,5.06362,6.35329
