python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
4.68572,4.63108,6.79574,6.6186,5.89592,5.65544,2.84135,4.21957,5.04393,4.05403,4.79731,4.91792,4.42784,4.80032,4.42824,4.68806,4.186,3.7292,4.1602,5.02992
2.72058,4.17802,6.71743,6.71931,5.09453,5.81721,3.36535,4.53212,4.44148,5.29962,4.55414,5.03784,4.30766,5.19458,4.13649,5.52919,4.97069,5.32084,4.45472,3.95288
4.08982,4.67339,6.97272,6.50543,4.80075,4.85788,4.13189,4.48678,3.61717,4.48985,3.67526,4.50503,3.96954,5.54103,5.10578,4.52473,3.78879,5.34178,3.69269,5.37703
4.23233,4.94271,6.68745,6.3621,5.30904,5.52739,3.72192,3.92044,3.64068,5.1206,4.19897,3.94303,3.3994,4.8446,4.94011,3.86637,5.3259,4.63543,3.60934,4.37673
3.85907,5.06451,6.59934,6.5117,4.26763,5.66569,2.65242,5.09207,3.0723,3.92932,4.11374,5.07983,3.33547,4.55826,3.56123,4.7518,5.4912,6.5605,3.42428,3.98739
3.63033,4.8082,6.48606,6.62132,4.1268,5.03428,3.62599,5.05274,4.52036,5.07359,2.48797,5.06173,3.45145,3.94349,3.76925,4.1603,2.34911,4.0642,4.07571,4.05536
2.8794,4.4471,6.44284,6.61259,4.38939,4.7332,3.14435,4.92794,3.4402,4.62028,3.44988,5.33141,3.92691,4.52394,3.37427,4.79622,3.41211,4.60915,3.32007,4.73612
3.92074,3.67724,6.15645,6.30615,4.55587,5.30059,2.24126,4.31827,3.04111,4.69343,3.41682,4.27756,3.54968,3.84844,3.38278,6.57653,3.38264,4.29608,3.08094,4.6476
2.41034,5.99012,6.35402,6.20682,3.4818,4.77921,3.64985,4.38037,1.76279,4.28136,3.51326,3.96953,2.12807,5.84982,2.23474,4.66202,2.12183,4.46391,5.33993,4.81595
5.0664,4.46503,5.51158,6.07773,3.6662,6.18868,3.10818,6.41001,3.17708,5.60257,2.9355,5.37834,3.93708,4.70999,4.56935,5.93749,4.32964,5.65568,2.92277,6.56852
