python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
3.92653,4.84442,6.94959,6.56299,4.68157,4.8219,3.86251,4.95081,3.31421,4.04211,4.77661,5.11522,2.64877,4.69394,3.55647,4.16928,3.94826,4.10581,3.68595,4.38132
3.95527,5.47149,6.81119,7.00598,5.22175,5.09043,3.60516,4.89475,3.34834,5.09663,3.72329,5.23645,4.18579,4.88746,4.89894,3.7365,3.96794,4.46802,3.78155,4.38481
4.55847,5.00104,7.00858,6.61291,5.2119,5.09129,3.94097,5.40135,2.85442,4.15509,4.97826,4.05405,4.24351,4.51196,4.30094,4.89247,3.7103,4.73761,4.8852,4.12771
4.53689,4.33096,6.52785,6.30887,4.73079,5.75143,4.04229,4.94293,3.66722,4.56403,4.86359,5.55009,5.21149,5.47908,4.98975,5.40853,3.8715,4.42498,3.66626,4.19319
3.72782,4.68447,6.80963,6.67775,5.07388,5.04452,4.26007,4.84522,4.74486,5.37338,2.80057,3.73505,3.83356,4.26469,2.9823,6.22932,4.53021,4.23807,3.91633,5.88865
3.69885,4.79152,6.85796,6.57527,4.38011,5.42946,3.21297,4.37445,4.51009,4.48334,3.6853,3.74927,3.28197,3.95346,3.63373,3.75542,3.58124,4.91258,4.96352,4.0491
4.38079,4.43664,6.00893,6.04747,4.46368,5.08566,2.69963,4.40321,3.27743,4.44157,3.44549,5.51997,3.77212,4.42476,3.66888,4.43718,3.52242,6.46511,3.33318,5.46331
2.98254,3.71275,6.18056,6.1652,4.01877,4.64183,3.59667,3.80695,2.00385,4.49092,3.43099,4.65857,3.00725,5.11397,2.66586,4.46972,3.39605,5.25504,3.28378,6.51218
4.14324,4.78263,5.45841,5.93458,3.09283,6.30486,2.99711,4.36866,2.94371,4.43588,2.74654,4.72278,4.3043,4.41321,2.36458,4.5177,5.1383,4.29713,2.10508,4.28422
3.87605,5.4742,5.97679,6.24072,3.82914,4.62063,2.19649,6.20007,3.53578,6.65377,2.90972,5.3046,2.06093,6.28842,4.83892,6.35898,2.67237,4.80445,5.28644,4.46428
