python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
4.69683,4.87616,6.77859,6.35957,5.67613,5.57435,3.53418,4.62729,4.32601,4.7806,4.85019,3.98951,4.50094,5.06985,4.13105,5.7732,5.1433,4.63572,4.29662,4.83004
3.93615,3.96046,6.48859,6.26473,4.52573,5.80067,2.89647,4.43208,4.21617,4.50127,3.55918,4.13654,4.40619,5.04093,4.27834,5.47874,4.43422,4.69239,4.2083,4.80857
3.54208,5.76598,7.34652,6.04312,5.98224,4.7165,5.06738,6.81533,3.63709,4.41917,3.20989,5.08596,3.86428,4.76062,4.91263,4.88212,5.56665,4.29314,4.83377,4.99822
5.68607,4.37779,6.40327,6.91275,4.29251,4.84879,4.088,4.93388,3.29685,5.02015,2.6797,5.24066,3.80523,4.81754,2.79741,4.55401,4.8156,4.33992,3.59325,4.37622
3.5056,4.31487,6.5144,6.98125,4.32337,5.71252,3.86985,4.37952,4.1291,4.49037,3.64185,3.70735,3.46928,4.30346,5.02641,4.74384,3.18367,5.44393,4.62827,3.7371
4.47401,6.04315,5.92078,6.51368,5.02573,5.12352,3.53047,4.32016,3.00838,4.64066,4.3586,5.50245,4.62572,5.66787,3.76433,4.42769,3.19106,5.90508,2.84406,4.71251
3.08402,3.84138,7.08287,6.88623,4.33295,4.88476,3.55454,4.27689,2.76352,3.78985,4.16861,6.58743,2.87742,3.76358,3.26984,5.6204,3.52816,3.97083,3.62513,4.41853
5.26234,4.67342,6.41577,6.27467,4.19079,4.73252,3.03111,4.178,3.44636,5.81064,3.20818,5.13029,3.21003,4.2594,2.96375,4.02979,3.04575,4.35105,4.24301,4.85194
3.50889,4.3385,5.86195,6.18185,3.08545,4.6002,3.1769,6.46117,3.37128,6.53929,4.12888,4.80849,4.49699,4.59827,3.45202,3.86218,2.13359,5.68974,2.35724,4.46998
2.16674,6.26641,5.55258,5.96005,3.85791,6.08594,2.48915,4.58322,2.47273,4.63374,2.11918,4.70773,1.82922,6.51852,3.5376,5.57228,5.12694,6.43784,5.27768,6.51303
