python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
4.10278,4.69951,7.11883,6.60069,5.33718,5.52226,4.38752,5.92638,4.63464,4.20676,4.42686,4.4737,3.88924,4.6992,5.36938,5.75353,3.38864,5.42405,3.53923,5.37847
4.98856,4.30125,7.14987,6.86553,4.56838,5.00541,3.1798,4.8193,3.87684,5.10763,4.43919,5.47905,3.67722,4.56527,4.29532,4.37832,3.85737,3.92072,3.75216,5.48753
4.63258,5.27224,6.59209,6.51565,5.45955,4.95166,4.0371,5.01714,3.35143,6.53453,3.83237,4.26471,3.66434,4.54178,4.18263,4.3584,3.25751,3.91958,5.20058,4.23461
3.451,3.84413,6.74355,6.39932,5.18477,5.4415,4.02053,5.00919,4.52326,4.14122,3.4505,4.85177,4.09496,4.20694,3.69334,4.09944,4.0448,5.21946,5.04858,4.41489
3.80931,4.95321,6.94476,6.97385,5.85486,5.03998,4.34579,4.88037,3.53176,4.42337,3.5242,4.94532,5.13784,6.5348,3.90159,4.50184,4.84567,4.19935,3.15266,4.18982
3.68577,5.99194,6.14527,6.33505,4.57513,5.749,3.6773,4.51633,3.37004,4.77986,4.61993,4.57842,4.35814,4.52454,3.66793,4.83687,3.93283,5.19108,4.13563,4.02192
3.89034,4.23759,6.44656,6.49463,4.2647,4.91821,3.29479,4.92212,3.02708,5.08699,2.9192,4.24971,3.56268,4.79324,3.96445,5.11966,5.03459,4.85816,3.71197,4.61993
3.08096,4.6444,5.29209,5.86574,3.3184,5.22451,1.70247,4.21564,2.68554,3.89036,3.18527,5.08126,2.08336,4.46941,3.08036,4.94249,2.86914,3.60976,5.22572,4.90699
2.01573,6.46255,5.69806,6.22453,4.2276,4.74833,2.98932,4.13922,1.82803,6.5686,1.70302,4.60801,2.85451,6.1638,1.82255,4.22984,5.18956,6.51656,3.17612,6.42979
5.40302,4.28321,6.19283,6.14111,3.64219,6.11975,3.19271,6.2666,3.43979,4.37851,3.88703,6.10092,4.12323,4.24878,4.85424,6.34175,2.47231,4.54483,2.54332,4.38379
