project_id,Revision,Author,Date,Lines of Code,L Lines of Code,S Lines of Code,Multi-line comments,Multi lines,blank lines,Single comment lines,Cyclomatic Complexity,Unique Operands,Unique Operators,Number of Operands,Number of Operators,Unique vocabulary (h1 + h2),Length of application,Code volume,Difficulty,Effort,Maintainability Ranking,Maintainability Index
27489574,084f575,Rich Ellis,2020-02-19,115,59,52,14,33,16,14,10,1,2,1,2,3,3,4.75489,0.5,2.37744,A,82.2256
27489574,084f575,Rich Ellis,2020-02-19,878,284,318,22,407,132,21,92,9,65,37,66,74,103,639.574,4.56923,2922.36,A,34.7403
27489574,084f575,Rich Ellis,2020-02-19,479,196,206,31,180,62,31,62,11,61,36,67,72,103,635.502,6.04098,3839.06,A,47.7168
27489574,084f575,Rich Ellis,2020-02-19,388,249,220,21,110,37,21,35,1,2,1,2,3,3,4.75489,0.5,2.37744,A,67.5086
27489574,084f575,Rich Ellis,2020-02-19,20,1,0,14,4,2,14,0,0,0,0,0,0,0,0,0,0,A,100
27489574,084f575,Rich Ellis,2020-02-19,387,93,99,14,215,59,14,26,2,6,4,6,8,10,30,1,30,A,43.3358
27489574,084f575,Rich Ellis,2020-02-19,583,189,183,34,278,89,33,98,13,90,64,131,103,195,1303.87,9.46111,12336,A,29.3104
27489574,084f575,Rich Ellis,2020-02-19,734,237,212,19,368,135,19,90,6,48,27,49,54,76,437.371,3.0625,1339.45,A,27.6762
27489574,084f575,Rich Ellis,2020-02-19,448,235,266,28,113,41,28,51,3,12,6,12,15,18,70.324,1.5,105.486,A,58.6093
27489574,084f575,Rich Ellis,2020-02-19,20,1,0,14,4,2,14,0,0,0,0,0,0,0,0,0,0,A,100
27489574,084f575,Rich Ellis,2020-02-19,143,21,116,22,4,9,14,0,0,0,0,0,0,0,0,0,0,A,100
27489574,084f575,Rich Ellis,2020-02-19,20,1,0,14,4,2,14,0,0,0,0,0,0,0,0,0,0,A,100
27489574,084f575,Rich Ellis,2020-02-19,1573,425,487,26,835,222,29,110,12,58,34,62,70,96,588.411,6.41379,3773.95,A,20.0344
27489574,084f575,Rich Ellis,2020-02-19,83,33,28,14,31,10,14,11,1,8,4,8,9,12,38.0391,0.5,19.0196,A,68.9952
27489574,084f575,Rich Ellis,2020-02-19,66,18,29,15,15,7,15,6,0,0,0,0,0,0,0,0,0,A,100
27489574,084f575,Rich Ellis,2020-02-19,226,110,109,22,62,35,20,38,6,25,14,28,31,42,208.076,3.36,699.136,A,63.142
27489574,084f575,Rich Ellis,2020-02-19,226,127,113,28,59,27,27,36,6,18,10,20,24,30,137.549,3.33333,458.496,A,63.3145
27489574,084f575,Rich Ellis,2020-02-19,1849,879,1350,61,334,102,63,106,5,35,19,36,40,55,292.706,2.57143,752.673,A,30.8509
27489574,084f575,Rich Ellis,2020-02-19,266,119,122,14,97,33,14,42,4,15,10,17,19,27,114.694,2.26667,259.973,A,62.5968
27489574,084f575,Rich Ellis,2020-02-19,148,82,85,22,22,20,21,6,1,12,8,12,13,20,74.0088,0.5,37.0044,A,73.5027
27489574,084f575,Rich Ellis,2020-02-19,297,147,194,17,29,57,17,31,8,20,13,23,28,36,173.065,4.6,796.098,A,58.164
27489574,084f575,Rich Ellis,2020-02-19,1416,854,967,64,261,131,57,115,3,25,17,34,28,51,245.175,2.04,500.157,A,31.6582
27489574,084f575,Rich Ellis,2020-02-19,616,236,218,18,304,76,18,59,4,25,13,26,29,39,189.461,2.08,394.079,A,41.4223
27489574,084f575,Rich Ellis,2020-02-19,496,329,289,14,138,55,14,65,2,6,7,8,8,15,45,1.33333,60,A,53.9435
27489574,084f575,Rich Ellis,2020-02-19,425,241,282,33,75,35,33,63,10,43,25,48,53,73,418.138,5.5814,2333.79,A,49.78
27489574,084f575,Rich Ellis,2020-02-19,134,42,40,14,63,17,14,10,0,0,0,0,0,0,0,0,0,A,100
27489574,084f575,Rich Ellis,2020-02-19,42,16,15,14,4,9,14,8,1,2,1,2,3,3,4.75489,0.5,2.37744,A,90.4322
27489574,084f575,Rich Ellis,2020-02-19,48,7,17,20,12,4,15,3,0,0,0,0,0,0,0,0,0,A,100
27489574,084f575,Rich Ellis,2020-02-19,382,202,273,35,0,75,34,17,4,7,4,7,11,11,38.0537,2,76.1075,A,56.1161
27489574,084f575,Rich Ellis,2020-02-19,109,48,48,15,18,28,15,12,2,4,2,4,6,6,15.5098,1,15.5098,A,82.4325
27489574,084f575,Rich Ellis,2020-02-19,624,389,389,14,153,68,14,50,1,2,1,2,3,3,4.75489,0.5,2.37744,A,61.4216
27489574,084f575,Rich Ellis,2020-02-19,210,103,101,14,68,27,14,57,1,2,1,2,3,3,4.75489,0.5,2.37744,A,76.0887
27489574,084f575,Rich Ellis,2020-02-19,391,186,243,28,60,53,35,62,10,63,37,70,73,107,662.311,5.55556,3679.51,A,51.7344
27489574,084f575,Rich Ellis,2020-02-19,231,51,50,17,132,33,16,16,6,13,7,13,19,20,84.9586,3,254.876,A,35.1625
27489574,084f575,Rich Ellis,2020-02-19,152,85,80,22,17,33,22,8,1,2,1,2,3,3,4.75489,0.5,2.37744,A,81.3785
27489574,084f575,Rich Ellis,2020-02-19,957,595,633,60,183,81,60,71,6,24,15,30,30,45,220.81,3.75,828.038,A,41.9618
27489574,084f575,Rich Ellis,2020-02-19,423,177,287,21,64,52,20,48,6,35,18,35,41,53,283.95,3,851.851,A,54.2825
27489574,084f575,Rich Ellis,2020-02-19,301,132,149,24,73,55,24,51,7,33,20,38,40,58,308.672,4.0303,1244.04,A,59.8863
27489574,084f575,Rich Ellis,2020-02-19,221,48,172,20,18,11,20,7,1,6,3,6,7,9,25.2662,0.5,12.6331,A,76.8823
27489574,084f575,Rich Ellis,2020-02-19,189,92,113,22,42,20,14,18,1,2,1,2,3,3,4.75489,0.5,2.37744,A,79.2375
27489574,084f575,Rich Ellis,2020-02-19,88,17,21,14,40,13,14,3,0,0,0,0,0,0,0,0,0,A,100
27489574,084f575,Rich Ellis,2020-02-19,64,15,39,14,4,7,14,0,0,0,0,0,0,0,0,0,0,A,100
27489574,084f575,Rich Ellis,2020-02-19,299,84,256,27,4,25,14,22,0,0,0,0,0,0,0,0,0,A,100
27489574,084f575,Rich Ellis,2020-02-19,296,27,48,180,0,76,172,0,0,0,0,0,0,0,0,0,0,A,100
27489574,084f575,Rich Ellis,2020-02-19,529,388,372,17,105,36,16,108,9,37,23,41,46,64,353.508,4.98649,1762.76,A,38.5346
27489574,084f575,Rich Ellis,2020-02-19,527,370,351,21,114,41,21,128,9,101,66,114,110,180,1220.64,5.07921,6199.91,A,34.8168
27489574,084f575,Rich Ellis,2020-02-19,130,79,84,14,3,29,14,22,1,14,7,14,15,21,82.0447,0.5,41.0224,A,65.9899
