python10Cache10,python10NoCache,python11Cache11,python11NoCache,python12Cache12,python12NoCache,python13Cache13,python13NoCache,python14Cache14,python14NoCache,python15Cache15,python15NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
3.2535,3.80814,2.56059,3.29568,4.50792,3.61438,2.44945,3.45552,2.80198,3.04051,2.75767,2.66834,7.0842,6.79096,5.50582,4.63307,2.46684,3.37048,3.35667,3.17145,3.8943,4.30589,3.2539,3.84956,3.20559,2.98646,3.37929,4.19987,2.11124,2.88948
3.17708,3.36729,2.97153,2.91145,3.45862,2.3272,3.14584,4.05443,4.19947,2.6556,2.15422,3.63871,6.99926,7.06663,5.21308,4.94326,1.55662,3.5732,3.86742,3.8535,2.91517,3.62709,2.36983,4.12657,2.1184,2.82663,2.22488,3.33083,2.63314,3.76984
4.06515,3.31783,2.99769,3.01778,3.06955,3.61841,3.06385,3.72378,3.58188,2.57313,2.50022,2.45136,6.83269,6.93082,4.7,4.25695,2.40412,4.22643,2.02559,4.41434,2.16177,2.5768,3.64492,3.3402,2.70256,3.72793,2.90353,3.39228,3.4601,3.64177
2.05685,4.4487,2.34963,2.55184,2.15508,2.33059,2.43456,4.33676,3.54346,2.68748,2.65837,2.9724,7.37247,6.88009,4.71395,5.19428,3.25222,2.65381,3.37444,4.19421,1.99411,3.60884,3.00954,3.26194,2.07757,3.07188,3.4472,3.13021,2.91474,3.6538
3.27239,2.73614,2.02903,3.18435,2.10141,2.89579,3.94951,3.62352,3.41989,3.54592,3.9031,2.84433,7.01664,6.87097,3.93211,4.52199,2.83718,2.74272,3.29347,3.80328,2.07513,4.65044,3.87856,4.32065,2.87325,3.78751,2.48256,3.59828,2.67794,2.41952
3.24729,3.42554,3.81487,4.40582,2.14431,3.81954,4.10814,4.038,2.09973,4.04964,2.80725,4.11749,7.36519,6.69964,4.88081,5.34035,3.68868,3.89998,3.49487,3.95134,3.03984,3.0807,2.58271,3.48892,2.26734,2.57155,2.47499,3.9421,3.35259,3.20864
2.49008,3.31307,3.915,4.28398,3.65476,3.72642,3.4424,3.49868,2.36661,3.81103,3.08585,3.52932,7.40845,6.73244,4.39986,5.61301,4.10344,4.72671,2.77003,3.67933,3.9176,3.25881,3.51356,2.65883,3.28028,3.61339,3.18325,3.2333,3.35034,3.51837
3.99525,4.45193,4.04442,4.07191,3.49934,5.01884,3.73584,3.34652,2.21244,4.47846,3.30616,3.64882,7.2146,6.75987,5.8939,4.45732,3.67293,3.18595,3.2635,3.53004,3.20785,3.34452,2.97891,4.08595,2.6401,3.31283,3.09141,3.25118,3.15651,3.80765
2.68075,3.49174,3.50018,4.40519,3.11274,3.4043,3.27577,3.98853,3.4232,3.95681,4.39159,4.47086,7.13129,6.66697,5.32644,5.16163,3.0319,4.1775,3.43782,2.97575,3.77539,4.38027,3.52315,3.94348,4.09762,4.69668,3.82907,3.8267,3.41015,3.97696
4.03875,4.34899,3.58551,3.70717,4.04841,4.55257,3.67052,3.12981,4.27674,4.65819,4.10561,4.67983,7.2967,6.82195,5.39214,5.09827,4.43538,5.05169,2.96956,4.18778,2.71884,3.09432,2.44459,3.79959,4.28979,4.42942,4.20419,4.55532,4.39336,4.75633
