python10Cache10,python10NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
3.69627,4.11623,7.4298,7.1595,5.90626,5.84753,3.65333,4.96775,3.68429,4.53658,3.53679,4.2927,3.87209,4.50787,3.5349,3.96759,4.25887,4.83187,3.79634,4.69441
3.65158,4.07242,7.02251,6.99629,5.3564,5.35608,3.57603,4.4128,3.2675,4.28968,3.41206,4.42149,3.68222,4.3462,3.49389,4.57609,3.15425,4.43998,3.79947,4.37676
3.84999,4.27424,7.31164,7.15868,5.33495,5.4168,3.5505,4.70534,3.47176,4.41285,3.15269,4.62344,3.65623,4.5986,3.28513,4.43816,3.89853,4.47498,3.64031,4.20954
3.4082,4.51489,7.0912,7.04622,5.23139,5.50461,3.84166,4.99025,3.58633,4.37957,3.34289,4.08873,3.65303,3.94513,3.94726,4.37075,3.65407,3.81689,4.20954,4.58929
3.5826,4.61713,7.08308,7.00534,5.20175,5.2761,4.07478,4.19611,3.52152,4.7391,3.36846,4.52031,3.59651,4.36037,3.34416,4.14946,3.43178,4.68574,3.58431,3.86292
3.57351,4.44094,6.99977,7.00915,5.48464,5.3719,4.24101,4.26972,3.73722,4.40554,3.55395,3.96518,3.39695,4.17241,3.59485,4.13535,3.53984,4.27622,3.63822,4.20465
3.89645,3.9075,7.01467,7.09993,5.20087,5.41425,3.64798,4.394,3.93782,3.91798,3.58858,4.33486,3.55567,4.24052,3.60822,4.18488,3.89968,3.70534,3.27057,3.98732
4.12303,4.03861,7.0499,6.99255,5.28931,5.64099,3.47997,4.85129,3.15963,3.44732,3.53258,4.56022,3.09569,3.71572,3.70029,4.68339,3.20043,4.05234,3.6444,4.4565
3.8326,4.29654,7.1192,7.07133,5.19484,5.51567,3.64983,4.58288,3.48169,4.39531,3.42649,4.01222,3.54737,4.12508,3.59911,4.36431,3.85158,4.58659,3.76975,4.12194
3.48754,4.30953,4.59943,5.45753,3.60816,4.74352,3.06974,3.61788,3.12141,4.82342,3.23621,3.62649,3.18748,4.56163,3.41502,3.82261,3.33033,3.75223,3.41223,4.13326
