project_id,Lines of Code,L Lines of Code,S Lines of Code,Multi-line comments,Multi lines,blank lines,Single comment lines,Cyclomatic Complexity,Unique Operands,Unique Operators,Number of Operands,Number of Operators,Unique vocabulary (h1 + h2),Length of application,Code volume,Difficulty,Effort,Maintainability Index,cross-entropy,total_author,total_commit_project,max,major,minor
26427893,36668.0,22205.0,22271.0,3739.0,3616.0,7423.0,3358.0,5195.0,602.0,19638.0,14884.0,28462.0,20240.0,43346.0,422920.67548000003,420.585429,5279765.058080001,56.642437514285724,4.594998,10,1226,62.88743882544861,3,7
27472783,9213.0,4259.0,4704.0,445.0,2338.0,1745.0,426.0,1390.0,220.0,1057.0,682.0,1264.0,1277.0,1946.0,10955.5437,133.04667,59594.8215,71.36626481481483,4.979013,26,1283,44.27123928293063,5,21
27489574,21567.0,10203.0,11674.0,1448.0,5914.0,2604.0,1375.0,2192.0,201.0,1053.0,643.0,1195.0,1254.0,1838.0,10230.388900000002,113.38757000000004,51171.57699999998,66.45246607142856,4.03756,17,1734,31.60322952710496,4,13
27496810,5100.0,3550.0,3691.0,328.0,105.0,1063.0,241.0,1043.0,177.0,1079.0,627.0,1203.0,1256.0,1830.0,11245.40275,99.30838,71604.99765999996,86.44999500000004,4.601152999999999,11,1524,29.79002624671916,6,5
27940657,4612.0,3499.0,3728.0,285.0,0.0,642.0,242.0,1084.0,223.0,785.0,455.0,880.0,1008.0,1335.0,6143.490440000001,124.46968000000001,21833.65072,63.73386119402985,4.4713590000000005,1,622,100.0,1,0
28261590,19723.0,11016.0,13820.0,1129.0,1320.0,3600.0,983.0,2358.0,610.0,4853.0,3590.0,6953.0,5463.0,10543.0,73834.30488999997,432.433228,820234.8543400002,53.20401764705882,3.660523,5,778,56.16966580976864,4,1
28687875,141630.0,72615.0,123414.0,3820.0,1535.0,12784.0,3897.0,1027.0,96.0,635.0,380.0,719.0,731.0,1099.0,6147.745499999997,53.96715,22300.22618,69.91916451612903,2.8879330000000003,6,655,53.89312977099237,3,3
28884786,40262.0,16867.0,25711.0,3258.0,6597.0,5751.0,2203.0,5039.0,712.0,5655.0,4134.0,7866.0,6367.0,12000.0,78150.21765999994,486.25797400000005,559537.1204199998,84.26344924012162,2.98311,68,1080,40.648148148148145,3,65
29026813,7647.0,5078.0,5614.0,307.0,173.0,1560.0,300.0,1631.0,207.0,1621.0,1009.0,1886.0,1828.0,2895.0,19661.274390000002,119.72758000000003,139038.70684,51.82334516129031,4.508311,2,22,90.9090909090909,2,0
29126205,7886.0,4568.0,4459.0,1341.0,394.0,1813.0,1220.0,657.0,177.0,3704.0,2513.0,4885.0,3881.0,7398.0,64359.946489999995,119.69262,585172.0636399997,68.52227088235296,3.926670000000001,1,933,100.0,1,0
29817913,19906.0,11640.0,14354.0,714.0,765.0,3248.0,1539.0,2606.0,146.0,368.0,227.0,394.0,514.0,621.0,2013.9210799999987,79.18393699999999,4531.987760000003,79.25501180555554,2.857241,3,959,96.2460896767466,1,2
30169075,5486.0,2308.0,3124.0,624.0,922.0,1029.0,411.0,560.0,93.0,732.0,452.0,854.0,825.0,1306.0,8055.349,50.52530599999999,48902.38738999997,79.39322790697675,8.217771,22,549,84.3351548269581,1,21
31030536,8824.0,3636.0,6600.0,340.0,253.0,1690.0,281.0,1044.0,169.0,827.0,506.0,957.0,996.0,1463.0,7543.331440000001,97.848749,25593.353840000003,70.4680655172414,3.860713,2,1148,99.91289198606272,1,1
31069027,16230.0,6620.0,9971.0,4412.0,285.0,1620.0,4354.0,2869.0,499.0,2727.0,1712.0,3269.0,3226.0,4981.0,30728.20090000001,294.61326700000006,197179.0296,90.99569172185434,3.7495589999999996,11,853,59.788980070339974,5,6
31125446,1872.0,1199.0,1205.0,438.0,0.0,229.0,438.0,267.0,102.0,932.0,657.0,1275.0,1034.0,1932.0,11989.874099999995,74.76228,64572.842000000004,58.0414210526316,2.92748,1,423,100.0,1,0
31400029,9778.0,4099.0,6637.0,884.0,421.0,1945.0,775.0,896.0,119.0,489.0,310.0,587.0,608.0,897.0,4962.053870000002,73.70483,33094.840119999986,95.70343151515154,3.0268,9,1141,47.765118317265554,4,5
31657027,10150.0,5882.0,6134.0,604.0,1143.0,2223.0,650.0,1886.0,318.0,1664.0,1025.0,1950.0,1982.0,2975.0,17656.966880000004,185.88138,120297.24386000002,60.573313148148145,4.3033850000000005,15,2094,60.60171919770774,4,11
32552050,9642.0,3574.0,7211.0,447.0,365.0,1655.0,411.0,812.0,126.0,518.0,339.0,622.0,644.0,961.0,4792.4520200000015,77.70141299999997,21584.05782,95.731525,1.9365066999999998,3,621,62.47987117552335,3,0
34561609,9756.0,6060.0,6118.0,976.0,1085.0,1705.0,848.0,947.0,267.0,2587.0,1757.0,3335.0,2854.0,5092.0,36286.611310000015,171.10778400000004,306123.7578600001,70.26930517241382,2.9478560000000003,1,846,100.0,1,0
34600889,5630.0,2689.0,3406.0,318.0,1145.0,785.0,294.0,653.0,45.0,347.0,201.0,403.0,392.0,604.0,3302.21466,26.048659999999995,10011.234640000002,92.73641315789473,2.851437,3,517,99.41972920696325,1,2
35149818,18180.0,8689.0,7909.0,2676.0,4750.0,2859.0,2662.0,5747.0,1839.0,5168.0,4516.0,8414.0,7007.0,12930.0,62979.877239999994,1499.0879599999994,434832.10374000005,74.85550655737701,3.917772,1,576,100.0,1,0
40955019,140126.0,65897.0,81381.0,19953.0,16407.0,26561.0,15777.0,1490.0,2323.0,10946.0,8381.0,15420.0,13269.0,23801.0,132416.86229999992,1572.2709209999978,801920.9829,86.20631439688721,1.9409739999999995,5,508,46.25984251968504,3,2
41010830,10102.0,2410.0,6428.0,431.0,1831.0,1343.0,500.0,590.0,132.0,401.0,234.0,442.0,533.0,676.0,2838.24056,74.46236999999998,8428.624759999999,80.18852361111111,2.8766689999999997,1,565,100.0,1,0
41339733,10215.0,6615.0,6700.0,207.0,1525.0,1852.0,138.0,2222.0,128.0,5809.0,4660.0,9842.0,5937.0,14502.0,167005.09409,85.38552600000001,2109614.5606400003,62.02926899999999,4.743658999999999,1,688,100.0,1,0
47754491,2188.0,1294.0,1285.0,434.0,184.0,378.0,341.0,211.0,94.0,381.0,269.0,524.0,475.0,793.0,4258.10904,64.55416699999999,31370.689619999997,84.60494117647059,4.961691,2,764,60.86387434554974,2,0
47838894,16348.0,10491.0,11694.0,1345.0,792.0,2568.0,1294.0,2638.0,338.0,3189.0,2159.0,4104.0,3527.0,6263.0,43955.81579,218.72078,353102.9731200001,56.17522725490197,5.1110050000000005,110,1792,85.65848214285714,1,109
