,Unnamed: 0,project_id,order,avg,pythonExp,pythonExp_label,totalOfCommit,totalOfCommit_label,totalOfUser,totalOfUser_label
0,1,11161411,1,7.454084999999999,0.6666666666666666,high,786,low,3,low
1,2,11161411,2,5.686591,0.6666666666666666,high,786,low,3,low
2,3,11161411,3,4.929246999999998,0.6666666666666666,high,786,low,3,low
3,4,11161411,4,4.741031999999999,0.6666666666666666,high,786,low,3,low
4,5,11161411,5,4.854282,0.6666666666666666,high,786,low,3,low
5,6,11161411,6,4.8734410000000015,0.6666666666666666,high,786,low,3,low
6,7,11161411,7,5.012765,0.6666666666666666,high,786,low,3,low
7,8,11161411,8,5.04204,0.6666666666666666,high,786,low,3,low
8,9,11161411,9,5.1125159999999985,0.6666666666666666,high,786,low,3,low
9,0,11161411,10,5.127557,0.6666666666666666,high,786,low,3,low
10,11,26427893,1,7.518534,0.7190476190476192,high,1319,high,11,high
11,12,26427893,2,6.033133,0.7190476190476192,high,1319,high,11,high
12,13,26427893,3,5.48934,0.7190476190476192,high,1319,high,11,high
13,14,26427893,4,5.4501659999999985,0.7190476190476192,high,1319,high,11,high
14,15,26427893,5,5.141772999999999,0.7190476190476192,high,1319,high,11,high
15,16,26427893,6,5.3339490000000005,0.7190476190476192,high,1319,high,11,high
16,17,26427893,7,5.533326000000001,0.7190476190476192,high,1319,high,11,high
17,18,26427893,8,5.416739999999999,0.7190476190476192,high,1319,high,11,high
18,19,26427893,9,5.070001,0.7190476190476192,high,1319,high,11,high
19,10,26427893,10,5.263286,0.7190476190476192,high,1319,high,11,high
20,21,27472783,1,7.350846000000001,0.5511596880131363,medium,1251,high,25,high
21,22,27472783,2,6.23467,0.5511596880131363,medium,1251,high,25,high
22,23,27472783,3,5.883164,0.5511596880131363,medium,1251,high,25,high
23,24,27472783,4,5.863376000000001,0.5511596880131363,medium,1251,high,25,high
24,25,27472783,5,5.850102,0.5511596880131363,medium,1251,high,25,high
25,26,27472783,6,5.852835000000002,0.5511596880131363,medium,1251,high,25,high
26,27,27472783,7,5.871598999999999,0.5511596880131363,medium,1251,high,25,high
27,28,27472783,8,5.948998000000001,0.5511596880131363,medium,1251,high,25,high
28,29,27472783,9,5.906534,0.5511596880131363,medium,1251,high,25,high
29,20,27472783,10,5.850192000000002,0.5511596880131363,medium,1251,high,25,high
30,31,27489574,1,7.0351740000000005,0.373662260153266,low,1628,high,18,high
31,32,27489574,2,5.2443490000000015,0.373662260153266,low,1628,high,18,high
32,33,27489574,3,4.462071999999999,0.373662260153266,low,1628,high,18,high
33,34,27489574,4,4.335504,0.373662260153266,low,1628,high,18,high
34,35,27489574,5,4.2384970000000015,0.373662260153266,low,1628,high,18,high
35,36,27489574,6,4.269375000000001,0.373662260153266,low,1628,high,18,high
36,37,27489574,7,4.145178,0.373662260153266,low,1628,high,18,high
37,38,27489574,8,4.241043,0.373662260153266,low,1628,high,18,high
38,39,27489574,9,4.436267000000001,0.373662260153266,low,1628,high,18,high
39,30,27489574,10,4.5023029999999995,0.373662260153266,low,1628,high,18,high
40,41,27496810,1,7.122304,0.3960292580982237,low,1366,high,12,high
41,42,27496810,2,6.085291000000001,0.3960292580982237,low,1366,high,12,high
42,43,27496810,3,5.293462,0.3960292580982237,low,1366,high,12,high
43,44,27496810,4,5.2262629999999985,0.3960292580982237,low,1366,high,12,high
44,45,27496810,5,5.1726480000000015,0.3960292580982237,low,1366,high,12,high
45,46,27496810,6,5.37547,0.3960292580982237,low,1366,high,12,high
46,47,27496810,7,5.534568,0.3960292580982237,low,1366,high,12,high
47,48,27496810,8,5.3922099999999995,0.3960292580982237,low,1366,high,12,high
48,49,27496810,9,5.161365,0.3960292580982237,low,1366,high,12,high
49,40,27496810,10,5.135382999999999,0.3960292580982237,low,1366,high,12,high
50,51,27940657,1,6.885434000000001,0.4761904761904762,medium,612,low,1,low
51,52,27940657,2,5.3324060000000015,0.4761904761904762,medium,612,low,1,low
52,53,27940657,3,4.709345000000001,0.4761904761904762,medium,612,low,1,low
53,54,27940657,4,4.527319,0.4761904761904762,medium,612,low,1,low
54,55,27940657,5,4.541137,0.4761904761904762,medium,612,low,1,low
55,56,27940657,6,4.575886,0.4761904761904762,medium,612,low,1,low
56,57,27940657,7,4.577505,0.4761904761904762,medium,612,low,1,low
57,58,27940657,8,4.635579000000001,0.4761904761904762,medium,612,low,1,low
