project_id,total_commit_author_minor,total_commit_project,changeNoExpert
26427893,71,1226,5.791190864600326
27472783,236,1283,18.394388152766954
27489574,104,1734,5.997693194925029
27496810,169,1524,11.089238845144356
28261590,3,778,0.3856041131105398
28420571,856,7444,11.499193981730253
28687875,31,655,4.732824427480916
28884786,302,1080,27.962962962962962
29379373,248,1042,23.80038387715931
29817913,36,959,3.753910323253389
30169075,86,549,15.664845173041895
31015510,66,946,6.976744186046512
31030536,1,1148,0.08710801393728224
31069027,40,853,4.6893317702227435
31400029,48,1141,4.206836108676599
31657027,208,2094,9.933142311365808
34600889,3,517,0.5802707930367504
36761320,38,1124,3.380782918149466
40955019,3,508,0.5905511811023622
47838894,257,1792,14.341517857142858
51732151,24,492,4.878048780487805
11161411,0,849,0.0
27940657,0,622,0.0
29026813,0,22,0.0
29126205,0,933,0.0
31125446,0,423,0.0
32552050,0,621,0.0
34561609,0,846,0.0
35149818,0,576,0.0
41010830,0,565,0.0
41339733,0,688,0.0
47754491,0,764,0.0
52512066,0,1829,0.0
56604179,0,1147,0.0
