project_id,add,delete,churn,pathname
31069027,31,4,35,hr_attendance_apk/models/hr_employee.py
31069027,1,2,3,hr_attendance_report/models/hr_attendance_report_parser.py
31069027,19,0,19,hr_attendance_apk/models/hr_employee.py
31069027,1,0,1,hr_attendance_report/__openerp__.py
31069027,17,13,30,hr_attendance_reminder/models/hr_attendance.py
31069027,1,0,1,hr_attendance_report/__openerp__.py
31069027,1,0,1,hr_attendance_report/models/__init__.py
31069027,4,1,5,hr_attendance_report/models/hr_attendance_report_parser.py
31069027,117,0,117,hr_attendance_report/models/resource.py
31069027,1,1,2,hr_attendance_apk/__init__.py
31069027,1,0,1,hr_attendance_apk/__openerp__.py
31069027,19,1,20,hr_attendance_apk/models/clock_company_apk.py
31069027,40,8,48,hr_attendance_apk/models/hr_employee.py
31069027,1,0,1,hr_attendance_report/models/__init__.py
31069027,37,0,37,hr_attendance_report/models/hr_attendance.py
31069027,0,8,8,hr_biometric_machine/__init__.py
31069027,0,27,27,hr_biometric_machine/__openerp__.py
31069027,0,27,27,hr_biometric_machine/migrations/1.3.0/post-migration.py
31069027,0,28,28,hr_biometric_machine/migrations/1.3.0/pre-migration.py
31069027,0,9,9,hr_biometric_machine/models/__init__.py
31069027,0,190,190,hr_biometric_machine/models/biometric_data.py
31069027,0,167,167,hr_biometric_machine/models/biometric_machine.py
31069027,0,29,29,hr_biometric_machine/models/biometric_user.py
31069027,0,23,23,hr_biometric_machine/models/hr_attendance.py
31069027,0,6,6,hr_biometric_machine/pyzk/__init__.py
31069027,0,29,29,hr_biometric_machine/pyzk/attendance.py
31069027,0,7,7,hr_biometric_machine/tests/__init__.py
31069027,0,141,141,hr_biometric_machine/tests/biometric.py
31069027,0,41,41,hr_biometric_machine/tests/test_attendance.py
31069027,0,5,5,hr_biometric_machine/wizard/__init__.py
31069027,0,46,46,hr_biometric_machine/wizard/biometric_data_wizard.py
31069027,0,33,33,hr_biometric_machine/wizard/biometric_user_wizard.py
31069027,8,0,8,hr_biometric_machine/__init__.py
31069027,27,0,27,hr_biometric_machine/__openerp__.py
31069027,27,0,27,hr_biometric_machine/migrations/1.3.0/post-migration.py
31069027,28,0,28,hr_biometric_machine/migrations/1.3.0/pre-migration.py
31069027,9,0,9,hr_biometric_machine/models/__init__.py
31069027,190,0,190,hr_biometric_machine/models/biometric_data.py
31069027,167,0,167,hr_biometric_machine/models/biometric_machine.py
31069027,29,0,29,hr_biometric_machine/models/biometric_user.py
31069027,23,0,23,hr_biometric_machine/models/hr_attendance.py
31069027,6,0,6,hr_biometric_machine/pyzk/__init__.py
31069027,29,0,29,hr_biometric_machine/pyzk/attendance.py
31069027,7,0,7,hr_biometric_machine/tests/__init__.py
31069027,141,0,141,hr_biometric_machine/tests/biometric.py
31069027,41,0,41,hr_biometric_machine/tests/test_attendance.py
31069027,5,0,5,hr_biometric_machine/wizard/__init__.py
31069027,46,0,46,hr_biometric_machine/wizard/biometric_data_wizard.py
31069027,33,0,33,hr_biometric_machine/wizard/biometric_user_wizard.py
31069027,4,0,4,hr_attendance_reminder/__init__.py
31069027,23,0,23,hr_attendance_reminder/__openerp__.py
31069027,5,0,5,hr_attendance_reminder/models/__init__.py
31069027,59,0,59,hr_attendance_reminder/models/hr_attendance.py
31069027,12,0,12,hr_attendance_reminder/models/resource_calendar.py
31069027,22,0,22,hr_attendance_report/__init__.py
31069027,43,0,43,hr_attendance_report/__openerp__.py
31069027,22,0,22,hr_attendance_report/models/__init__.py
31069027,110,0,110,hr_attendance_report/models/hr_attendance_report_parser.py
31069027,50,0,50,hr_attendance_report/models/ir_qweb.py
31069027,21,0,21,hr_attendance_report/wizard/__init__.py
31069027,39,0,39,hr_attendance_report/wizard/employee_print_attendance_report.py
31069027,85,46,131,hr_attendance_apk/models/hr_employee.py
31069027,8,4,12,hr_attendance_apk/models/clock_company_apk.py
31069027,89,57,146,hr_attendance_apk/models/hr_employee.py
31069027,2,0,2,hr_attendance_apk/__init__.py
31069027,21,0,21,hr_attendance_apk/__openerp__.py
31069027,3,0,3,hr_attendance_apk/models/__init__.py
31069027,54,0,54,hr_attendance_apk/models/clock_company_apk.py
31069027,161,0,161,hr_attendance_apk/models/hr_employee.py
31069027,3,0,3,hr_attendance_apk/tests/__init__.py
31069027,66,0,66,hr_attendance_apk/tests/test_hr_attendance_rfid_process.py
31069027,0,4,4,web_decimal_numpad_dot/__init__.py
31069027,0,42,42,web_decimal_numpad_dot/__openerp__.py
31069027,1,1,2,stock_transfer_only_available/wizard/stock_transfer_details.py
31069027,1,0,1,stock_picking_review/__openerp__.py
31069027,4,0,4,picking_invoice_rel/stock.py
31069027,2,1,3,stock_transfer_uos/wizard/stock_transfer_details.py
31069027,2,20,22,picking_invoice_rel/invoice.py
31069027,25,10,35,picking_invoice_rel/invoice.py
31069027,1,1,2,picking_invoice_rel/invoice.py
31069027,6,1,7,picking_invoice_rel/invoice.py
31069027,4,0,4,facebook_pixel/__init__.py
31069027,22,0,22,facebook_pixel/__openerp__.py
31069027,4,0,4,facebook_pixel/models/__init__.py
31069027,36,0,36,facebook_pixel/models/website.py
31069027,2,9,11,stock_picking_valued/models/stock.py
31069027,24,13,37,stock_picking_valued/models/stock.py
31069027,20,0,20,stock_picking_valued/models/stock.py
31069027,9,2,11,stock_transfer_only_available/wizard/stock_transfer_details.py
31069027,1,0,1,cmnt_global_discount/models/account_invoice.py
31069027,2,2,4,cmnt_global_discount/models/sale.py
31069027,1,1,2,nan_partner_risk/risk.py
31069027,2,1,3,customer_expense_account/models/expense_structure.py
31069027,7,1,8,customer_expense_account/models/expense_structure.py
31069027,7,9,16,customer_expense_account/wizard/customer_expense_wzd.py
31069027,6,4,10,customer_expense_account/models/expense_type.py
31069027,23,21,44,customer_expense_account/wizard/customer_expense_wzd.py
31069027,45,53,98,customer_expense_account/wizard/customer_expense_wzd.py
31069027,10,2,12,customer_expense_account/models/expense_structure.py
31069027,5,3,8,customer_expense_account/wizard/customer_expense_wzd.py
31069027,5,3,8,customer_expense_account/report/customer_expense_parser.py
31069027,115,81,196,customer_expense_account/wizard/customer_expense_wzd.py
31069027,2,3,5,account_invoice_bank_usability/models/account_invoice.py
31069027,38,18,56,purchase_landed_cost/models/purchase_cost_distribution.py
31069027,6,6,12,purchase_landed_cost/models/purchase_cost_distribution.py
31069027,4,3,7,purchase_landed_cost/__openerp__.py
31069027,63,36,99,purchase_landed_cost/models/purchase_cost_distribution.py
31069027,38,24,62,customer_expense_account/wizard/customer_expense_wzd.py
31069027,3,1,4,customer_expense_account/__openerp__.py
31069027,14,0,14,customer_expense_account/models/expense_type.py
31069027,0,1,1,customer_expense_account/models/res_company.py
31069027,0,1,1,customer_expense_account/models/res_partner.py
31069027,5,5,10,customer_expense_account/report/customer_expense_parser.py
31069027,11,2,13,customer_expense_account/tests/test_expense_structure.py
31069027,113,57,170,customer_expense_account/wizard/customer_expense_wzd.py
31069027,0,1,1,website_cmnt_custom_snippet/__openerp__.py
31069027,1,1,2,nan_partner_risk/risk.py
31069027,36,1,37,nan_partner_risk/risk.py
31069027,2,0,2,nan_partner_risk/wizard/open_risk_window.py
31069027,20,6,26,nan_partner_risk/risk.py
31069027,4,0,4,hubspot_tracking/__init__.py
31069027,21,0,21,hubspot_tracking/__openerp__.py
31069027,4,0,4,hubspot_tracking/models/__init__.py
31069027,21,0,21,hubspot_tracking/models/website.py
