,project_id,Revision,Author,Date,Lines of Code,L Lines of Code,S Lines of Code,Multi-line comments,Multi lines,blank lines,Single comment lines,Cyclomatic Complexity,Unique Operands,Unique Operators,Number of Operands,Number of Operators,Unique vocabulary (h1 + h2),Length of application,Code volume,Difficulty,Effort,Maintainability Ranking,Maintainability Index,file
0,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,32,20,19,8,0,5,8,7,3,14,7,14,17,21,85.8367,1.5,128.755,A,84.8258,/home/senior/senior/all_metric/56604179/81.csv
1,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,351,134,134,10,109,96,12,28,4,13,7,13,17,20,81.7493,2,163.499,A,65.0553,/home/senior/senior/all_metric/56604179/69.csv
2,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,283,162,154,15,50,62,17,57,12,60,40,72,72,112,691.032,7.2,4975.43,A,53.9686,/home/senior/senior/all_metric/56604179/42.csv
3,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,39,22,22,9,0,9,8,5,1,4,2,4,5,6,13.9316,0.5,6.96578,A,90.2622,/home/senior/senior/all_metric/56604179/97.csv
4,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,185,97,95,24,29,37,24,30,10,36,21,40,46,61,336.937,5.55556,1871.87,A,64.5631,/home/senior/senior/all_metric/56604179/8.csv
5,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,40,19,22,8,0,10,8,5,4,14,13,18,18,31,129.268,2.57143,332.403,A,84.2572,/home/senior/senior/all_metric/56604179/95.csv
6,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,40,19,18,11,0,11,11,4,1,2,1,2,3,3,4.75489,0.5,2.37744,A,95.8961,/home/senior/senior/all_metric/56604179/110.csv
7,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,84,40,70,4,0,10,4,6,7,29,16,32,36,48,248.156,3.86207,958.397,A,61.1069,/home/senior/senior/all_metric/56604179/75.csv
8,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,241,145,143,10,35,54,9,54,12,41,26,45,53,71,406.682,6.58537,2678.15,A,55.7675,/home/senior/senior/all_metric/56604179/14.csv
9,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,840,366,376,27,230,207,27,145,18,149,118,224,167,342,2525.23,13.5302,34166.8,A,31.9853,/home/senior/senior/all_metric/56604179/66.csv
10,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,21,1,0,8,9,4,8,0,0,0,0,0,0,0,0,0,0,A,100,/home/senior/senior/all_metric/56604179/50.csv
11,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,313,140,142,15,85,73,13,48,9,63,35,72,72,107,660.182,5.14286,3395.22,A,56.8888,/home/senior/senior/all_metric/56604179/7.csv
12,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,349,157,147,23,94,83,25,54,10,49,31,56,59,87,511.79,5.71429,2924.51,A,55.4648,/home/senior/senior/all_metric/56604179/12.csv
13,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,81,52,55,13,0,13,13,8,2,6,8,9,8,17,51,1.5,76.5,A,74.2552,/home/senior/senior/all_metric/56604179/77.csv
