,project_id,totalOfUser,totalOfUser_label
28,31810056,566,high
45,47838894,108,high
13,28884786,78,high
21,30169075,27,high
5,27472783,25,high
11,28420571,24,high
17,29379373,24,high
22,31015510,20,high
20,30002172,20,high
6,27489574,18,high
27,31657027,13,high
24,31069027,13,high
7,27496810,12,high
3,26427893,11,high
26,31400029,9,high
12,28687875,7,high
23,31030536,7,high
2,16653926,6,medium
36,36761320,6,medium
31,32770814,6,medium
42,46782994,6,medium
10,28261590,5,medium
38,40955019,5,medium
46,51732151,4,medium
33,34600889,3,medium
37,36840692,3,medium
30,32552050,3,medium
0,11161411,3,medium
18,29817913,3,medium
8,27671416,3,medium
39,41010830,3,medium
1,11760194,2,low
16,29126205,2,low
44,47754491,2,low
15,29026813,2,low
14,28940792,2,low
41,41395896,1,low
43,46843400,1,low
47,52512066,1,low
48,53403511,1,low
25,31125446,1,low
40,41339733,1,low
35,35149818,1,low
34,34771680,1,low
32,34561609,1,low
29,32377697,1,low
19,29953250,1,low
9,27940657,1,low
4,27419394,1,low
49,56604179,1,low
