project_id,add,delete,churn
11161411,248254,124191,372445
26427893,111573,85968,197541
27472783,16073,7020,23093
27489574,34106,12512,46618
27496810,14170,9061,23231
27940657,15780,10044,25824
28261590,63702,48785,112487
28420571,300909,197335,498244
28687875,197791,48126,245917
28884786,693521,648767,1342288
29026813,25379,8571,33950
29126205,16814,5179,21993
29379373,23504,16036,39540
29817913,28288,8087,36375
30169075,9520,4061,13581
31015510,48540,31384,79924
31030536,23483,14520,38003
31069027,22658,5835,28493
31125446,10086,3425,13511
31400029,25321,15426,40747
31657027,22133,11976,34109
32552050,12658,2738,15396
34561609,21621,11535,33156
34600889,9554,3918,13472
35149818,21385,1347,22732
36761320,14112,5566,19678
40955019,356936,58207,415143
41010830,13857,3754,17611
41339733,17813,5075,22888
47754491,5597,835,6432
47838894,43634,26378,70012
51732151,28010,13946,41956
52512066,23136,12197,35333
56604179,84756,55955,140711
