project_id,cross-entropy_mean,Maintainability Index,numOfPriorDefects,churn
11161411,4,55,0,372445
26427893,4,56,0,197541
27472783,5,71,0,23093
27489574,3,66,125,46618
27496810,4,86,189,23231
27940657,4,63,0,25824
28261590,3,53,4,112487
28420571,4,65,294,498244
28687875,3,69,0,245917
28884786,3,84,140,1342288
29026813,4,51,0,33950
29126205,4,68,0,21993
29379373,3,69,101,39540
29817913,3,78,0,36375
30169075,6,79,52,13581
31015510,2,70,0,79924
31030536,4,70,31,38003
31069027,3,90,0,28493
31125446,3,58,0,13511
31400029,3,95,0,40747
31657027,4,60,24,34109
32552050,2,95,0,15396
34561609,3,70,0,33156
34600889,3,92,169,13472
35149818,4,74,0,22732
36761320,4,64,1,19678
40955019,2,86,0,415143
41010830,3,80,15,17611
41339733,5,62,0,22888
47754491,4,84,0,6432
47838894,5,56,65,70012
51732151,4,75,0,41956
52512066,3,71,0,35333
56604179,5,67,0,140711
