project_id,total_author
5350,4
29781,2
114480,2
195054,2
209941,2
234791,1
236175,1
245901,1
256231,1
269059,2
285616,1
296571,1
309970,4
352728,2
358497,1
374419,4
412335,3
448651,1
450383,4
467655,2
510491,1
518769,1
588379,1
620727,1
686652,1
797533,2
866619,1
960692,1
966016,1
1007657,2
1029326,1
1054791,1
1366749,2
1412096,1
1414255,2
1508260,1
1520115,1
1539411,1
1563461,2
1571651,1
1622373,1
1671613,1
1712613,1
1769155,2
1804712,2
1933504,2
1965950,2
2001477,5
2004747,1
2050046,1
2062744,1
2100620,1
2179224,1
2221413,1
2300825,1
2338181,1
2362798,2
2379638,1
2432870,1
2441266,1
2451249,1
2465126,1
2471020,1
2511842,1
2512486,1
2516763,1
2549124,1
2552189,1
2576000,1
2582320,1
2598418,1
2679223,1
2708072,1
2741733,2
2820629,1
2821989,1
2824958,1
2827523,1
2847241,1
2870370,1
2945553,1
2947287,1
3007274,1
3007762,1
3031474,1
3032231,1
3032403,1
3051387,1
3054381,1
3054572,1
3072569,1
3109825,1
3176069,1
3200726,1
3248015,1
3329873,1
3386538,3
3512633,1
3594008,1
3636062,1
3656732,1
3702210,1
3704987,2
3712265,1
3720488,2
3729335,1
3773236,1
3774826,1
3823473,2
3838014,1
3846364,1
3849590,1
3853570,1
3856406,1
3873370,1
3927382,2
3963593,1
3972299,1
4006734,2
4020111,2
4055484,1
4066883,1
4136456,1
4147920,2
4238237,1
4243075,1
4248827,1
4274230,2
4279132,2
4405272,1
4438434,1
4439133,1
4496637,2
4562367,1
4564102,1
4570123,1
4586915,1
4635246,1
4677994,1
4710009,1
4730497,1
4757429,1
4812246,1
4874061,1
4923777,1
4929614,1
4960093,1
4985737,1
4993082,1
5015380,1
5084131,1
5113696,1
5136219,1
5155471,1
5156566,1
5180034,1
5187622,1
5212203,1
5240887,1
5326538,2
5332456,1
5338469,1
5456396,2
5504954,1
5545943,1
5581477,1
5642118,2
5671754,1
5708869,1
5713238,1
5734756,1
5742898,1
5747273,1
5760409,1
5766215,1
5810266,1
5822829,1
5832554,1
5835772,1
5886031,1
5892182,1
5893384,2
5952089,1
6022949,1
6056372,1
6148665,1
6159802,1
6183283,1
6214315,1
6244687,1
6311888,1
6315379,1
6329190,1
6340025,1
6417154,1
6422406,1
6462119,2
6483493,1
6547863,3
6567432,1
6593186,1
6594923,1
6604088,1
6609159,1
6624529,1
6644742,1
6649245,1
6711203,1
6724960,1
6793238,1
6828525,1
6853872,1
6889296,1
6893848,1
6896834,1
6918588,3
6919137,2
6967887,1
6976539,1
7040834,1
7096998,1
7110987,2
7144783,1
7151444,1
7159388,4
7162300,1
7287273,1
7321268,1
7342991,1
7362439,1
7393519,1
7408410,1
7425683,3
7437744,1
7454990,1
7526232,1
7528592,1
7565135,1
7587716,1
7595598,1
7601021,1
7637651,2
7643407,2
7665723,1
7739362,1
7791153,1
7833465,1
7892054,1
7930661,2
8082396,1
8154673,1
8201837,2
8218713,1
8224069,1
8255210,2
8285448,1
8314566,1
8344187,1
8368928,1
8445433,1
8451316,2
8451829,1
8472134,1
8485780,1
8488682,1
8581459,1
8597951,1
8601369,1
8647930,1
8674620,1
8752657,1
8799532,1
8830128,1
8836576,1
8861893,2
8879643,1
8890938,1
8891302,1
8893429,1
9008221,1
9066905,3
9085292,1
9175303,1
9209983,1
9219786,1
9232866,2
9251360,1
9320439,1
9329669,1
9333431,2
9345396,1
9371284,1
9415457,1
9532956,1
9553530,1
9559879,1
9565652,1
9711910,1
9735590,1
9746670,1
9756818,3
9907113,1
9921508,1
9933781,1
9934228,2
9967650,1
9990586,1
10007155,1
10007589,1
10033189,2
10126122,2
10154365,1
10161837,1
10251757,1
10256972,1
10271400,1
10274730,1
10275728,2
10296275,1
10306912,1
10326560,1
10362065,1
10373038,1
10392486,1
10410721,1
10430545,1
10481293,1
10481543,1
10546263,1
10629130,1
10629590,1
10646845,1
10728870,2
10772491,1
10788113,1
10792242,1
10802114,1
10856375,1
10856518,1
10859952,1
10888132,1
10888938,1
10898649,3
10949245,1
10949747,1
10970847,1
10994630,1
10994810,1
11025206,1
11037883,1
11039704,1
11062737,1
11159468,1
11218554,2
11292475,1
11298377,1
11307473,1
11312396,2
11312617,1
11314971,1
11323333,1
11346846,1
11375505,1
11461505,1
11497152,1
11515400,1
11520005,3
11552793,1
11693841,1
11732673,1
11756167,1
11776697,1
11787286,1
11791655,1
11793858,1
11799531,1
11828384,1
11885561,1
11902075,1
12136995,1
12139282,1
12155209,1
12163333,1
12198546,1
12225117,1
12241592,1
12259227,1
12293361,1
12358810,1
12369263,1
12377743,2
12379879,4
12416387,1
12420309,1
12473215,1
12521864,1
12538519,3
12541136,1
12554861,1
12604221,2
12605805,1
12613929,2
12672732,1
12704999,1
12742066,1
12861307,2
12865809,1
12892427,3
12907361,1
12920429,1
12942096,1
12951472,1
13016168,1
13027690,1
13061835,1
13076744,1
13112909,1
13120054,1
13380051,1
13400388,1
13410296,2
13417773,2
13424262,1
13449919,1
13529156,1
13567176,1
13594272,1
13597808,1
13625497,2
13643600,1
13647223,1
13691022,1
13710831,1
13725863,1
13732658,1
13750038,1
13766059,1
13773588,1
13791048,1
13803372,1
13837477,1
13857382,1
13859737,1
13888781,1
13896787,1
13916618,1
13917964,1
13933119,1
14024364,1
14032482,1
14118614,1
14130748,1
14153626,3
14154987,2
14275798,1
14323598,1
14382721,1
14440900,1
14451002,1
14454817,2
14478685,2
14504975,2
14508596,1
14529586,1
14548214,1
14564387,1
14589615,1
14618431,1
14671163,1
14678206,1
14691229,1
14710080,1
14710964,2
14725781,1
14729417,1
14790867,1
14813477,1
14857305,1
14859008,1
14883091,1
14890988,1
14922370,1
14992865,1
15074955,4
15086892,1
15117619,1
15128412,1
15130403,1
15135939,1
15140433,1
15152669,1
15199084,1
15210312,1
15275243,1
15278251,1
15343566,1
15374893,1
15405260,1
15409499,1
15409906,1
15422076,1
15448325,1
15459909,1
15495305,1
15634159,1
15696060,1
15767660,3
15784345,1
15789986,1
15811353,2
15835634,1
15896410,1
15907748,1
16029949,1
16039199,1
16093312,1
16149640,1
16185827,1
16192548,1
16221978,1
16254278,1
16259881,1
16314045,1
16323068,2
16325983,1
16351003,1
16435081,3
