project_id,numOfCommits,total_commit_project,percent_withOutDiscussion
27472783,144,1283,11.22369446609509
27489574,41,1734,2.364475201845444
28261590,3,778,0.3856041131105398
28420571,352,7444,4.728640515851692
28884786,5,1080,0.4629629629629629
29379373,22,1042,2.111324376199616
29817913,3,959,0.31282586027111575
31400029,100,1141,8.76424189307625
31657027,59,2094,2.8175740210124167
36761320,4,1124,0.3558718861209964
47838894,1,1792,0.055803571428571425
11161411,0,849,0.0
26427893,0,1226,0.0
27496810,0,1524,0.0
27940657,0,622,0.0
28687875,0,655,0.0
29026813,0,22,0.0
29126205,0,933,0.0
30169075,0,549,0.0
31015510,0,946,0.0
31030536,0,1148,0.0
31069027,0,853,0.0
31125446,0,423,0.0
32552050,0,621,0.0
34561609,0,846,0.0
34600889,0,517,0.0
35149818,0,576,0.0
40955019,0,508,0.0
41010830,0,565,0.0
41339733,0,688,0.0
47754491,0,764,0.0
51732151,0,492,0.0
52512066,0,1829,0.0
56604179,0,1147,0.0
