project_id,closedIssue_count
1142,16266
1490,312
8081,3
8871,0
9793,5251
10824,0
11453,0
13666,679
31723,4534
45658,416
54266,26
55818,0
62741,95
64630,915
69206,0
85925,0
131909,0
144335,28
153663,142
181526,2828
188867,5
194154,129
195159,1
223561,49
286987,0
323872,28
333065,6
417964,26
480189,0
494272,0
506900,0
680323,0
701640,0
728153,516
775232,27
795859,0
802405,63
809314,6
829649,2
856441,2
894588,1
901605,0
1062235,0
1069376,0
1193745,0
1432841,0
1522387,0
1974423,56
2230747,0
2309585,0
2467274,0
2501984,1
2511063,0
2689873,0
2771113,0
2789109,0
2794780,374
2847704,0
2884492,0
3010407,0
3111304,0
3182310,11
3202818,18
3213843,11152
3219077,2689
3605768,0
3672400,4
3780176,169
3867439,0
3879861,16
3929178,135
3946682,0
4022910,0
4027987,0
4378847,0
4429866,0
4449031,139
4473333,76
4542112,0
4757690,14
4766756,4
4837138,2499
4845094,0
4928468,0
5017985,0
5080558,0
5112713,0
5114635,0
5157401,993
5374655,167
5490882,1
5531064,360
5541827,2288
5541830,1
5774282,0
5783454,0
6065028,11
6120371,0
6197453,0
6211510,0
6369242,0
6389567,0
6476018,0
6509126,21
6647075,0
6850710,0
7296431,0
7332763,0
7405649,0
7484910,0
7517171,0
7565205,0
7667597,0
7710184,0
7808844,6
7820774,1
8263008,98
8429554,0
8528375,1
8533092,0
8642892,0
8892059,3
8961082,0
8964129,169
9011315,0
9220450,1
9313674,4
9408755,0
9555207,0
9714508,3
9755597,16
9806716,0
9859425,8
9911373,0
9914117,0
9936411,2
9992447,4
9995770,0
10016145,0
10083240,19
10095118,0
10230856,2
10275805,0
10468973,608
10491744,8
10535452,5
10597460,0
10609057,13
10617561,0
10749359,11
10752221,0
10768726,1
10775142,0
11015752,23
11114278,0
11201097,0
11637464,0
11664079,286
11745340,0
11765420,0
11803289,0
11881598,1
12286104,0
12365328,0
12390090,15
12445377,0
12482617,0
12482853,5
12493589,0
12555637,0
12573478,0
12984034,0
13046341,0
13374672,16
13407016,356
13485883,0
13498939,0
13575507,0
13591501,60
13745503,0
13800286,0
13825157,0
13936271,0
13963468,1
13988762,0
14029541,0
14145861,0
14218149,0
14286544,0
14536251,3
14752755,0
14819160,0
14838321,3
14870171,0
14989147,0
15105024,50
15219914,46
15408689,1
15630156,0
15634015,25
15777563,1
15789441,1
15818554,0
15848561,0
15850753,2
16027393,0
16102031,0
16193225,0
16425799,0
16467857,1
16472186,1548
16619714,0
16620617,0
16708479,1
17026758,0
17172918,0
17389423,0
17440881,1
17498336,0
17632542,0
17663271,0
17665409,116
17760550,15
17785499,0
17796761,1
17801506,2
17816625,0
18000409,0
18023673,0
18129905,3
18264371,1
18270718,0
18284713,0
18290332,0
18332120,2
18422785,0
18548728,0
18826708,0
18838350,0
18861790,2
19531511,0
19532442,0
19556947,1
19713594,0
19758265,6
19848115,0
19938807,0
19968609,0
19982733,0
19982922,0
20077201,0
20187604,0
20593971,0
20648244,0
20662877,2
20667964,0
20693413,0
21146530,0
21201454,30
21322704,2
21360040,0
21561964,3
21620625,0
21685135,367
22041731,0
22086032,0
22216656,0
22304244,0
22331853,0
22458274,0
22654622,2
22752448,0
23066372,0
23441058,1
23686537,5
23996356,0
24796473,0
24841797,0
24938794,2
24965137,1
25224120,1
25333585,0
25833787,0
25865890,0
26221512,0
26348442,610
26565684,0
27105955,0
27148904,0
27232554,0
27368905,55
27517172,0
27552291,0
27590149,14
27683090,0
27984276,0
28132474,0
28370725,0
28429046,0
28506839,0
28544819,1
28703055,0
28707063,0
28851790,0
28977818,29
28987187,0
29085491,0
29168314,0
29209187,8
29257438,0
29352963,0
29365494,0
29559601,0
29612597,0
29669543,0
29873244,0
29875128,0
30149217,0
30277669,0
30482691,1
30563070,2
30593749,0
30597136,0
30682266,0
30791858,0
30842366,0
30932642,49
30988846,0
31011708,0
31150321,6
31266028,4
31462338,0
31462347,0
31472502,0
31675261,0
32717382,7
34611402,0
34845713,0
34905286,0
36769710,0
38021184,0
43033531,0
47727488,0
48762605,0
52515283,0
52785686,0
52835462,11
52841113,0
52922816,0
53111668,0
53262729,0
56567840,1
57133846,0
57321820,0
57421331,0
57439611,0
