project_id,fork_count
1142,5088
1490,346
8081,7
8871,915
9793,3034
10824,2196
11453,12
13666,469
31723,3088
45658,1262
54266,27
55818,0
62741,261
64630,278
69206,720
85925,1
131909,8
144335,22
153663,29
181526,2595
188867,174
194154,39
195159,27
223561,100
286987,32
323872,314
333065,59
417964,7
480189,8
494272,3
506900,0
680323,7
701640,29
728153,289
775232,84
795859,3
802405,123
809314,325
829649,36
856441,31
894588,6
901605,10
1062235,17
1069376,1
1193745,6
1432841,4
1522387,9
1974423,17
2230747,2
2309585,2
2467274,15
2501984,6
2511063,1
2689873,5
2771113,0
2789109,110
2794780,18
2847704,3
2884492,0
3010407,196
3111304,35
3182310,15
3202818,442
3213843,1
3219077,320
3605768,0
3672400,244
3780176,566
3867439,2
3879861,1172
3929178,2148
3946682,28
4022910,0
4027987,7
4378847,3
4429866,1
4449031,27
4473333,385
4542112,0
4757690,176
4766756,8
4837138,214
4845094,0
4928468,11
5017985,3
5080558,14
5112713,40
5114635,1
5157401,101
5374655,32
5490882,47
5531064,101
5541827,243
5541830,8
5774282,6
5783454,33
6065028,6
6120371,0
6197453,2
6211510,54
6369242,2
6389567,0
6476018,13
6509126,7
6647075,4
6850710,4
7296431,54
7332763,4
7405649,0
7484910,36
7517171,1
7565205,0
7667597,1
7710184,16
7808844,2
7820774,6
8263008,128
8429554,186
8528375,4
8533092,0
8642892,1
8892059,43
8961082,2
8964129,303
9011315,28
9220450,7
9313674,8
9408755,21
9555207,3
9714508,11
9755597,30
9806716,6
9859425,67
9911373,1
9914117,14
9936411,11
9992447,2
9995770,6
10016145,1
10083240,9
10095118,2
10230856,12
10275805,4
10468973,24
10491744,21
10535452,14
10597460,2
10609057,23
10617561,3
10749359,2
10752221,5
10768726,7
10775142,1
11015752,100
11114278,2
11201097,26
11637464,9
11664079,572
11745340,2
11765420,0
11803289,5
11881598,39
12286104,0
12365328,0
12390090,8
12445377,2
12482617,0
12482853,4
12493589,29
12555637,16
12573478,2
12984034,4
13046341,3
13374672,99
13407016,82
13485883,57
13498939,13
13575507,27
13591501,127
13745503,4
13800286,3
13825157,1
13936271,2
13963468,3
13988762,5
14029541,0
14145861,1
14218149,0
14286544,12
14536251,3
14752755,0
14819160,180
14838321,16
14870171,8
14989147,3
15105024,2
15219914,41
15408689,280
15630156,5
15634015,0
15777563,7
15789441,69
15818554,0
15848561,19
15850753,1
16027393,2
16102031,4
16193225,1
16425799,26
16467857,8
16472186,517
16619714,3
16620617,39
16708479,3
17026758,0
17172918,1
17389423,2
17440881,2
17498336,10
17632542,0
17663271,1
17665409,66
17760550,66
17785499,3
17796761,1
17801506,0
17816625,1
18000409,4
18023673,0
18129905,10
18264371,5
18270718,11
18284713,1
18290332,0
18332120,21
18422785,0
18548728,1
18826708,0
18838350,1
18861790,9
19531511,4
19532442,2
19556947,4
19713594,3
19758265,45
19848115,1
19938807,16
19968609,10
19982733,5
19982922,5
20077201,26
20187604,0
20593971,1
20648244,8
20662877,4
20667964,0
20693413,8
21146530,0
21201454,63
21322704,59
21360040,0
21561964,4
21620625,3
21685135,277
22041731,22
22086032,4
22216656,5
22304244,4
22331853,9
22458274,0
22654622,3
22752448,2
23066372,0
23441058,4
23686537,8
23996356,0
24796473,6
24841797,8
24938794,17
24965137,6
25224120,1
25333585,2
25833787,6
25865890,3
26221512,0
26348442,77
26565684,0
27105955,8
27148904,10
27232554,0
27368905,6
27517172,0
27552291,1
27590149,47
27683090,3
27984276,0
28132474,20
28370725,3
28429046,1
28506839,0
28544819,3
28703055,1
28707063,0
28851790,1
28977818,48
28987187,1
29085491,1
29168314,1
29209187,19
29257438,27
29352963,0
29365494,1
29559601,1
29612597,1
29669543,0
29873244,0
29875128,1
30149217,3
30277669,2
30482691,25
30563070,1
30593749,2
30597136,7
30682266,14
30791858,0
30842366,22
30932642,6
30988846,14
31011708,1
31150321,31
31266028,50
31462338,2
31462347,2
31472502,1
31675261,8
32717382,3
34611402,1
34845713,5
34905286,0
36769710,0
38021184,0
43033531,0
47727488,0
48762605,2
52515283,0
52785686,63
52835462,7
52841113,1
52922816,5
53111668,0
53262729,5
56567840,1
57133846,5
57321820,0
57421331,2
57439611,0
