project_id,max_day_diff
1142,1215
1490,29
8081,83
8871,65
9793,1111
10824,1273
11453,1
13666,10
31723,1593
45658,485
54266,9
55818,761
62741,97
64630,973
69206,951
85925,15
131909,5
144335,1
153663,2063
181526,1633
188867,0
194154,4
195159,187
223561,8
286987,251
323872,180
333065,1
417964,3
480189,15
494272,6
506900,12
680323,10
701640,0
728153,277
775232,0
795859,1
802405,177
809314,1314
829649,80
856441,2
894588,1
901605,0
1062235,8
1069376,0
1193745,0
1432841,0
1522387,3
1974423,108
2230747,2
2309585,29
2467274,68
2501984,2
2511063,0
2689873,0
2771113,7
2789109,4
2794780,586
2847704,1
2884492,0
3010407,5
3111304,0
3182310,2635
3202818,2
3213843,60
3219077,118
3605768,56
3672400,4
3780176,165
3867439,0
3879861,502
3929178,2376
3946682,5
4022910,1
4027987,0
4378847,0
4429866,0
4449031,33
4473333,266
4542112,0
4757690,0
4766756,138
4837138,1523
4845094,27
4928468,1
5017985,0
5080558,1
5112713,2
5114635,168
5157401,560
5374655,26
5490882,39
5531064,11
5541827,407
5541830,8
5774282,1
5783454,0
6065028,5
6120371,0
6197453,0
6211510,4
6369242,1
6389567,102
6476018,0
6509126,40
6647075,0
6850710,6
7296431,9
7332763,0
7405649,1
7484910,0
7517171,0
7565205,3
7667597,5
7710184,45
7808844,6
7820774,14
8263008,40
8429554,0
8528375,1
8533092,7
8642892,0
8892059,0
8961082,104
8964129,81
9011315,0
9220450,0
9313674,21
9408755,0
9555207,0
9714508,12
9755597,2
9806716,14
9859425,65
9911373,0
9914117,2689
9936411,91
9992447,12
9995770,0
10016145,0
10083240,2
10095118,0
10230856,0
10275805,0
10468973,43
10491744,325
10535452,9819
10597460,3
10609057,52
10617561,32
10749359,2
10752221,0
10768726,0
10775142,2
11015752,161
11114278,0
11201097,0
11637464,830
11664079,373
11745340,0
11765420,1
11803289,0
11881598,12
12286104,14920
12365328,157
12390090,17
12445377,0
12482617,18
12482853,204
12493589,0
12555637,1
12573478,47
12984034,408
13046341,0
13374672,206
13407016,46
13485883,12
13498939,0
13575507,0
13591501,228
13745503,0
13800286,2
13825157,4
13936271,0
13963468,2
13988762,0
14029541,0
14145861,0
14218149,0
14286544,0
14536251,952
14752755,0
14819160,350
14838321,1
14870171,0
14989147,0
15105024,40
15219914,22
15408689,8
15630156,0
15634015,8
15777563,111
15789441,1
15818554,0
15848561,0
15850753,1
16027393,107
16102031,6
16193225,0
16425799,1
16467857,0
16472186,726
16619714,3
16620617,0
16708479,0
17026758,4
17172918,23
17389423,0
17440881,0
17498336,3
17632542,3
17663271,0
17665409,14
17760550,543
17785499,8
17796761,0
17801506,13
17816625,0
18000409,0
18023673,3
18129905,40
18264371,5
18270718,0
18284713,0
18290332,1
18332120,0
18422785,0
18548728,1
18826708,0
18838350,0
18861790,0
19531511,0
19532442,0
19556947,0
19713594,0
19758265,1
19848115,0
19938807,0
19968609,0
19982733,3
19982922,0
20077201,5
20187604,332
20593971,0
20648244,0
20662877,4
20667964,0
20693413,0
21146530,0
21201454,238
21322704,0
21360040,0
21561964,0
21620625,5
21685135,222
22041731,655
22086032,2
22216656,0
22304244,0
22331853,0
22458274,0
22654622,5
22752448,237
23066372,0
23441058,0
23686537,882
23996356,8
24796473,0
24841797,309
24938794,0
24965137,5
25224120,12
25333585,27
25833787,0
25865890,3
26221512,3
26348442,14
26565684,0
27105955,9
27148904,4
27232554,1
27368905,2
27517172,0
27552291,0
27590149,21
27683090,0
27984276,0
28132474,0
28370725,57
28429046,5
28506839,63
28544819,2
28703055,0
28707063,0
28851790,2
28977818,27
28987187,2
29085491,0
29168314,0
29209187,1
29257438,6
29352963,0
29365494,0
29559601,0
29612597,3
29669543,3
29873244,0
29875128,0
30149217,0
30277669,0
30482691,0
30563070,3
30593749,0
30597136,3
30682266,48
30791858,0
30842366,2
30932642,200
30988846,1
31011708,0
31150321,227
31266028,0
31462338,0
31462347,0
31472502,2
31675261,0
32717382,1
34611402,0
34845713,0
34905286,0
36769710,0
38021184,0
43033531,0
47727488,52
48762605,0
52515283,2
52785686,0
52835462,0
52841113,0
52922816,0
53111668,0
53262729,0
56567840,0
57133846,0
57321820,0
57421331,0
57439611,0
