project_id,commit_id,created_at,max_day_diff
1142,1415371138,2019-05-31 23:07:43,1215
1490,1339376671,2019-03-25 00:20:31,29
8081,1351954357,2019-04-04 10:10:36,83
8871,1411625103,2019-05-29 04:53:16,65
9793,1414935837,2019-05-31 14:58:13,1111
10824,1415261737,2019-05-31 20:50:55,1273
11453,573136996,2014-08-26 12:53:03,1
13666,736207384,2017-07-13 13:43:09,10
31723,1415253598,2019-05-31 20:42:21,1593
45658,1414955314,2019-05-30 02:57:46,485
54266,1216790007,2018-11-26 07:41:09,9
55818,1393451853,2019-05-14 10:26:08,761
62741,1414410614,2019-05-31 06:09:00,97
64630,1415396809,2019-05-31 23:53:10,973
69206,1415323439,2019-05-31 22:02:40,951
85925,1351956883,2019-04-04 10:13:42,15
131909,355477411,2015-12-01 22:37:21,5
144335,260686686,2015-05-20 18:07:40,1
153663,842575064,2017-11-20 19:57:36,2063
181526,1415392689,2019-05-31 23:41:43,1633
188867,196153718,2014-12-17 17:31:52,0
194154,35746256,2013-03-08 13:22:24,4
195159,622236558,2017-02-10 13:14:04,187
223561,1389144927,2019-05-08 09:57:30,8
286987,203180970,2014-09-08 10:31:59,251
323872,1373346847,2019-03-23 22:20:23,180
333065,80540709,2014-01-02 09:56:40,1
417964,1386605964,2019-05-06 12:51:25,3
480189,1127486419,2018-09-09 09:09:16,15
494272,157064318,2014-08-27 10:33:42,6
506900,1366133149,2019-04-16 06:36:30,12
680323,243478928,2014-11-05 16:08:29,10
701640,47478233,2013-06-25 08:44:54,0
728153,1412957942,2019-05-30 03:39:11,277
775232,1173053979,2018-09-05 16:33:06,0
795859,173376411,2014-10-17 08:18:14,1
802405,1412337644,2019-05-29 15:51:41,177
809314,1415226477,2019-05-31 20:08:17,1314
829649,1248450801,2018-10-10 09:44:57,80
856441,133701678,2014-07-04 17:06:37,2
894588,825572848,2017-11-02 14:41:33,1
901605,328206207,2015-10-07 18:08:47,0
1062235,266437015,2012-07-09 09:36:20,8
1069376,1343004863,2011-12-08 08:09:47,0
1193745,1320666306,2012-05-14 01:01:48,0
1432841,742427766,2017-07-21 17:42:49,0
1522387,19617087,2012-11-09 17:17:22,3
1974423,1080363883,2018-07-24 21:23:13,108
2230747,164502695,2009-09-25 15:11:44,2
2309585,1333563297,2019-03-19 10:26:49,29
2467274,300548025,2013-02-02 14:51:37,68
2501984,242754434,2012-10-29 20:34:03,2
2511063,34293463,2013-02-25 12:14:11,0
2689873,331138872,2015-10-14 00:04:01,0
2771113,1238178217,2018-12-12 18:58:17,7
2789109,156030776,2014-01-16 09:42:30,4
2794780,1415201877,2019-05-31 19:38:37,586
2847704,129586332,2014-02-22 00:36:00,1
2884492,34306497,2013-02-27 09:39:41,0
3010407,993893325,2018-04-29 03:33:03,5
3111304,212044210,2012-08-02 13:20:03,0
3182310,1345018841,2019-03-29 15:59:45,2635
3202818,1004360229,2018-05-09 13:51:45,2
3213843,79092357,2013-03-22 09:00:07,60
3219077,1267322011,2019-01-12 18:42:09,118
3605768,1325238448,2019-02-28 12:44:02,56
3672400,1089688709,2018-08-03 02:54:19,4
3780176,963994205,2018-04-02 19:37:20,165
3867439,965918238,2018-04-04 11:26:43,0
3879861,1414713828,2019-05-31 11:33:01,502
3929178,1415268554,2019-05-31 21:00:48,2376
3946682,269516499,2013-10-12 08:06:41,5
4022910,406733316,2016-03-14 19:24:44,1
4027987,46282892,2013-06-19 00:15:02,0
4378847,48867044,2013-07-03 16:07:08,0
4429866,57955826,2013-08-30 13:09:48,0
4449031,1410230374,2019-05-28 04:22:09,33
4473333,1414906095,2019-05-31 14:35:59,266
4542112,57164197,2013-08-27 11:16:55,0
4757690,1335576406,2019-03-20 16:23:07,0
4766756,1387687586,2019-05-07 07:56:55,138
4837138,1390787510,2019-05-09 17:19:44,1523
4845094,364083226,2015-12-17 18:39:00,27
4928468,367538868,2016-01-03 11:10:17,1
5017985,219753421,2013-08-16 12:46:24,0
5080558,201935407,2013-09-30 15:02:59,1
5112713,377007227,2016-01-22 06:19:20,2
5114635,1382835836,2019-05-02 23:17:01,168
5157401,1415178562,2019-05-31 19:11:10,560
5374655,1415348263,2019-05-31 22:10:43,26
5490882,407259820,2016-03-15 15:59:33,39
5531064,934111616,2018-03-04 18:43:03,11
5541827,1414465211,2019-05-31 07:17:34,407
5541830,252383967,2014-07-08 00:28:58,8
5774282,65686582,2013-10-18 17:53:09,1
5783454,342938798,2015-11-08 01:58:06,0
6065028,1251060045,2018-12-26 18:38:30,5
6120371,68247041,2013-10-31 23:30:48,0
6197453,1224046289,2018-12-02 18:10:53,0
6211510,165872102,2014-03-08 07:40:03,4
6369242,220903344,2013-10-07 15:04:34,1
6389567,203365834,2015-01-06 23:07:46,102
6476018,418613788,2016-04-03 17:03:22,0
6509126,522741113,2016-09-29 15:46:16,40
6647075,73573982,2013-11-27 14:07:14,0
6850710,149932710,2014-08-14 16:51:23,6
7296431,683441013,2017-05-02 13:28:20,9
7332763,81551350,2014-01-07 19:18:24,0
7405649,1207682815,2018-11-18 18:20:52,1
7484910,347737977,2015-11-17 17:27:18,0
7517171,84073336,2014-01-20 15:43:14,0
7565205,1381136719,2019-05-01 12:35:03,3
7667597,151704064,2014-08-19 04:13:26,5
7710184,95041434,2014-03-09 20:10:13,45
7808844,1258892444,2019-01-04 19:39:12,6
7820774,197807612,2014-02-07 08:58:57,14
8263008,1406875121,2019-05-24 19:06:02,40
8429554,209618035,2013-12-21 14:33:40,0
8528375,209132120,2015-01-22 02:26:24,1
8533092,305977599,2015-08-20 21:27:45,7
8642892,163410155,2014-09-19 22:49:33,0
8892059,123212751,2014-06-05 14:22:33,0
8961082,1243222864,2018-10-23 14:06:57,104
8964129,1019609365,2017-08-25 15:31:34,81
9011315,294157084,2015-08-02 14:03:37,0
9220450,307527253,2015-08-26 15:55:17,0
9313674,517164014,2016-09-21 18:49:26,21
9408755,169714141,2014-10-06 17:03:02,0
9555207,106520973,2014-04-26 14:00:38,0
9714508,1404590658,2019-05-21 23:50:41,12
9755597,1050254784,2018-06-23 16:56:23,2
9806716,1409005275,2019-05-27 06:42:30,14
9859425,838730336,2017-11-16 12:34:03,65
