project_id,language,url,bytes,created_at,updated_at,year_diff,forked_from,original_project,api_created_at,api_updated_at,api_pushed_at,git_url,ssh_url,clone_url,svn_url,homepage,size,stargazers_count,watchers_count,has_issues,has_projects,has_downloads,has_wiki,has_pages,forks_count,mirror_url,archived,disabled,open_issues_count,forks,open_issues,watchers,compared_date,total_commit,repo
1142,Python,https://api.github.com/repos/saltstack/salt,23374755,2011-02-20 20:16:56,2019-05-31 04:14:24,8,0,YES,2011-02-20 20:16:56,2020-03-10 10:32:16,2020-03-10 06:37:40,git://github.com/saltstack/salt.git,git@github.com:saltstack/salt.git,https://github.com/saltstack/salt.git,https://github.com/saltstack/salt,https://repo.saltstack.com/,453317,10697,10697,True,True,True,True,False,4802,,False,False,2004,4802,2004,10697,True,64542,saltstack/salt
1490,Python,https://api.github.com/repos/gabrielfalcao/lettuce,13769135,2010-03-24 10:30:22,2019-05-29 10:03:23,9,0,YES,2010-03-24 10:30:22,2020-03-01 04:45:59,2020-02-29 09:58:18,git://github.com/gabrielfalcao/lettuce.git,git@github.com:gabrielfalcao/lettuce.git,https://github.com/gabrielfalcao/lettuce.git,https://github.com/gabrielfalcao/lettuce,http://lettuce.it,15123,1210,1210,True,True,True,True,True,335,,False,False,104,335,104,1210,True,310,gabrielfalcao/lettuce
8081,Python,https://api.github.com/repos/flavour/ifrc,32252776,2012-01-21 03:09:36,2019-04-04 10:16:19,7,0,YES,2012-01-21 03:09:36,2019-11-25 10:02:01,2019-11-25 10:01:59,git://github.com/flavour/ifrc.git,git@github.com:flavour/ifrc.git,https://github.com/flavour/ifrc.git,https://github.com/flavour/ifrc,http://rms.aidiq.com,178279,10,10,True,True,True,True,False,7,,False,False,0,7,0,10,True,853,flavour/ifrc
8871,Python,https://api.github.com/repos/twisted/twisted,11673126,2011-07-01 20:40:42,2019-05-31 14:00:07,7,0,YES,2011-07-01 20:40:42,2020-03-09 13:43:29,2020-03-10 03:19:57,git://github.com/twisted/twisted.git,git@github.com:twisted/twisted.git,https://github.com/twisted/twisted.git,https://github.com/twisted/twisted,https://www.twistedmatrix.com,60202,3780,3780,False,False,True,False,False,950,,False,False,76,950,76,3780,True,12006,twisted/twisted
9793,Python,https://api.github.com/repos/sympy/sympy,15014947,2010-04-30 20:37:14,2019-05-31 00:39:48,9,0,YES,2010-04-30 20:37:14,2020-03-10 10:47:20,2020-03-10 06:51:51,git://github.com/sympy/sympy.git,git@github.com:sympy/sympy.git,https://github.com/sympy/sympy.git,https://github.com/sympy/sympy,https://sympy.org/,120962,6733,6733,True,True,True,True,False,2950,,False,False,3597,2950,3597,6733,True,24720,sympy/sympy
10824,Python,https://api.github.com/repos/openstack/nova,18215805,2010-07-22 02:04:27,2019-05-30 22:05:21,8,0,YES,2010-07-22 02:04:27,2020-03-10 00:55:58,2020-03-10 03:02:35,git://github.com/openstack/nova.git,git@github.com:openstack/nova.git,https://github.com/openstack/nova.git,https://github.com/openstack/nova,https://opendev.org,1074115,2604,2604,False,False,False,False,False,2341,,False,False,0,2341,0,2604,True,47627,openstack/nova
11453,Python,https://api.github.com/repos/mozilla/kuma-lib,20328573,2011-02-10 21:53:26,2018-11-01 23:10:45,7,0,YES,2011-02-10 21:53:26,2018-08-07 16:28:33,2014-08-26 14:53:05,git://github.com/mozilla/kuma-lib.git,git@github.com:mozilla/kuma-lib.git,https://github.com/mozilla/kuma-lib.git,https://github.com/mozilla/kuma-lib,,32233,3,3,False,True,True,False,False,10,,True,False,0,10,0,3,True,74,mozilla/kuma-lib
13666,Python,https://api.github.com/repos/IronLanguages/main,46436496,2008-11-26 18:39:18,2019-05-17 07:28:55,10,0,YES,2008-11-26 18:39:18,2020-02-29 13:59:10,2017-10-28 06:11:26,git://github.com/IronLanguages/main.git,git@github.com:IronLanguages/main.git,https://github.com/IronLanguages/main.git,https://github.com/IronLanguages/main,,225398,1198,1198,True,False,True,True,False,370,,True,False,593,370,593,1198,True,1313,IronLanguages/main
31723,Python,https://api.github.com/repos/scipy/scipy,10807259,2011-03-09 18:52:03,2019-05-30 21:17:49,8,0,YES,2011-03-09 18:52:03,2020-03-10 07:38:08,2020-03-10 08:28:29,git://github.com/scipy/scipy.git,git@github.com:scipy/scipy.git,https://github.com/scipy/scipy.git,https://github.com/scipy/scipy,https://scipy.org/scipylib/,91475,6903,6903,True,True,True,True,False,3163,,False,False,1447,3163,1447,6903,True,12125,scipy/scipy
45658,Python,https://api.github.com/repos/cloudera/hue,43693472,2010-06-21 19:46:51,2019-05-31 10:45:20,8,0,YES,2010-06-21 19:46:51,2020-03-09 20:47:46,2020-03-09 20:47:42,git://github.com/cloudera/hue.git,git@github.com:cloudera/hue.git,https://github.com/cloudera/hue.git,https://github.com/cloudera/hue,https://gethue.com,372672,4023,4023,True,False,True,False,True,1546,,False,False,219,1546,219,4023,True,19584,cloudera/hue
54266,Python,https://api.github.com/repos/metashare/META-SHARE,10052542,2012-03-07 16:51:29,2019-02-19 14:57:49,6,0,YES,2012-03-07 16:51:29,2020-01-08 16:41:50,2019-10-17 06:09:46,git://github.com/metashare/META-SHARE.git,git@github.com:metashare/META-SHARE.git,https://github.com/metashare/META-SHARE.git,https://github.com/metashare/META-SHARE,http://www.meta-share.eu/,171638,22,22,True,True,True,True,False,28,,False,False,36,28,36,22,True,2370,metashare/META-SHARE
55818,Python,https://api.github.com/repos/eaudeweb/naaya,15273503,2015-07-21 14:04:31,2019-05-14 10:31:26,3,0,YES,2015-07-21 14:04:31,2020-03-03 14:05:34,2020-03-03 14:05:32,git://github.com/eaudeweb/naaya.git,git@github.com:eaudeweb/naaya.git,https://github.com/eaudeweb/naaya.git,https://github.com/eaudeweb/naaya,,124613,3,3,True,True,True,True,False,0,,False,False,1,0,1,3,True,12866,eaudeweb/naaya
62741,Python,https://api.github.com/repos/daviddrysdale/python-phonenumbers,21119929,2011-04-21 03:06:38,2019-05-30 17:31:25,8,0,YES,2011-04-21 03:06:38,2020-03-07 10:52:45,2020-03-03 07:56:25,git://github.com/daviddrysdale/python-phonenumbers.git,git@github.com:daviddrysdale/python-phonenumbers.git,https://github.com/daviddrysdale/python-phonenumbers.git,https://github.com/daviddrysdale/python-phonenumbers,,66674,2395,2395,True,True,True,True,False,293,,False,False,4,293,4,2395,True,1112,daviddrysdale/python-phonenumbers
64630,Python,https://api.github.com/repos/AppScale/appscale,50572407,2012-03-22 22:35:50,2019-05-31 18:14:33,7,0,YES,2012-03-22 22:35:50,2020-03-06 16:32:17,2020-03-03 06:59:23,git://github.com/AppScale/appscale.git,git@github.com:AppScale/appscale.git,https://github.com/AppScale/appscale.git,https://github.com/AppScale/appscale,https://www.appscale.com/community/,136727,2405,2405,True,True,True,True,False,278,,False,False,49,278,49,2405,True,4193,AppScale/appscale
69206,Python,https://api.github.com/repos/openstack/cinder,17586713,2012-11-29 22:34:37,2019-05-30 22:27:07,6,0,YES,2012-11-29 22:34:37,2020-03-09 10:30:33,2020-03-10 08:38:25,git://github.com/openstack/cinder.git,git@github.com:openstack/cinder.git,https://github.com/openstack/cinder.git,https://github.com/openstack/cinder,https://opendev.org,300127,541,541,False,False,False,False,False,813,,False,False,0,813,0,541,True,19549,openstack/cinder
85925,Python,https://api.github.com/repos/flavour/ifrc_prod,32253037,2012-05-03 22:32:16,2019-04-04 10:18:59,6,0,YES,2012-05-03 22:32:16,2019-11-25 10:02:16,2019-11-25 10:02:14,git://github.com/flavour/ifrc_prod.git,git@github.com:flavour/ifrc_prod.git,https://github.com/flavour/ifrc_prod.git,https://github.com/flavour/ifrc_prod,,162872,2,2,True,True,True,True,False,2,,False,False,0,2,0,2,True,450,flavour/ifrc_prod
131909,Python,https://api.github.com/repos/mozilla/moztrap-vendor-lib,13889112,2011-10-14 01:59:31,2019-03-29 04:50:27,7,0,YES,2011-10-14 01:59:31,2019-03-29 15:55:16,2019-03-29 15:55:05,git://github.com/mozilla/moztrap-vendor-lib.git,git@github.com:mozilla/moztrap-vendor-lib.git,https://github.com/mozilla/moztrap-vendor-lib.git,https://github.com/mozilla/moztrap-vendor-lib,,19337,2,2,True,True,True,False,False,5,,False,False,2,5,2,2,True,53,mozilla/moztrap-vendor-lib
144335,Python,https://api.github.com/repos/OpenEndedGroup/Field,10593901,2012-05-20 22:32:59,2019-04-02 03:56:08,6,0,YES,2012-05-20 22:32:59,2020-02-15 20:40:00,2015-05-20 20:07:41,git://github.com/OpenEndedGroup/Field.git,git@github.com:OpenEndedGroup/Field.git,https://github.com/OpenEndedGroup/Field.git,https://github.com/OpenEndedGroup/Field,,116805,192,192,True,True,True,True,False,20,,False,False,22,20,22,192,True,147,OpenEndedGroup/Field
153663,Python,https://api.github.com/repos/VisTrails/VisTrails,21290956,2012-08-08 19:37:18,2019-05-23 08:04:21,6,0,YES,2012-08-08 19:37:18,2020-01-31 15:09:50,2017-11-20 19:57:45,git://github.com/VisTrails/VisTrails.git,git@github.com:VisTrails/VisTrails.git,https://github.com/VisTrails/VisTrails.git,https://github.com/VisTrails/VisTrails,http://www.vistrails.org,140275,92,92,True,True,True,True,False,40,,False,False,181,40,181,92,True,3925,VisTrails/VisTrails
181526,Python,https://api.github.com/repos/getsentry/sentry,11837947,2010-08-30 22:06:41,2019-05-31 17:22:09,8,0,YES,2010-08-30 22:06:41,2020-03-10 09:57:06,2020-03-10 09:57:03,git://github.com/getsentry/sentry.git,git@github.com:getsentry/sentry.git,https://github.com/getsentry/sentry.git,https://github.com/getsentry/sentry,https://sentry.io,138737,24166,24166,True,True,True,False,False,2748,,False,False,1020,2748,1020,24166,True,61668,getsentry/sentry
188867,Python,https://api.github.com/repos/PySide/Examples,12380722,2011-06-17 14:48:58,2019-05-30 18:03:56,7,0,YES,2011-06-17 14:48:58,2020-02-27 21:20:07,2016-06-29 16:05:21,git://github.com/pyside/Examples.git,git@github.com:pyside/Examples.git,https://github.com/pyside/Examples.git,https://github.com/pyside/Examples,https://wiki.qt.io/PySide2,10450,310,310,True,True,True,False,False,195,,False,False,4,195,4,310,True,11,PySide/Examples
194154,Python,https://api.github.com/repos/smart-mobile-software/gitstack,21872826,2012-01-30 12:09:12,2019-05-20 11:47:36,7,0,YES,2012-01-30 12:09:12,2019-11-15 03:41:36,2013-03-08 14:22:41,git://github.com/smart-mobile-software/gitstack.git,git@github.com:smart-mobile-software/gitstack.git,https://github.com/smart-mobile-software/gitstack.git,https://github.com/smart-mobile-software/gitstack,http://gitstack.com,94495,126,126,True,True,True,True,False,38,,False,False,48,38,48,126,True,106,smart-mobile-software/gitstack
195159,Python,https://api.github.com/repos/akheron/cpython,25795878,2011-10-28 12:44:57,2019-04-11 15:49:08,7,0,YES,2011-10-28 12:44:57,2020-01-13 03:36:53,2017-02-11 02:19:19,git://github.com/akheron/cpython.git,git@github.com:akheron/cpython.git,https://github.com/akheron/cpython.git,https://github.com/akheron/cpython,,305291,58,58,False,True,True,False,False,23,,False,False,0,23,0,58,True,11436,akheron/cpython
223561,Python,https://api.github.com/repos/Pymol-Scripts/Pymol-script-repo,17140131,2009-04-30 21:45:07,2019-05-22 22:29:07,10,0,YES,2009-04-30 21:45:07,2020-03-09 12:38:05,2020-02-27 10:32:42,git://github.com/Pymol-Scripts/Pymol-script-repo.git,git@github.com:Pymol-Scripts/Pymol-script-repo.git,https://github.com/Pymol-Scripts/Pymol-script-repo.git,https://github.com/Pymol-Scripts/Pymol-script-repo,http://www.pymolwiki.org/index.php/Git_intro,36739,131,131,True,True,True,True,False,132,,False,False,3,132,3,131,True,424,Pymol-Scripts/Pymol-script-repo
286987,Python,https://api.github.com/repos/luoyun/LuoYunCloud,10108242,2012-03-31 14:33:55,2019-01-21 04:25:59,6,0,YES,2012-03-31 14:33:55,2019-02-14 11:15:08,2014-09-09 05:45:18,git://github.com/luoyun/LuoYunCloud.git,git@github.com:luoyun/LuoYunCloud.git,https://github.com/luoyun/LuoYunCloud.git,https://github.com/luoyun/LuoYunCloud,http://www.luoyun.co,22779,62,62,True,True,True,True,False,23,,False,False,1,23,1,62,True,348,luoyun/LuoYunCloud
323872,Python,https://api.github.com/repos/sagemath/sage,68346805,2012-06-08 10:11:02,2019-05-30 23:03:47,6,0,YES,2012-06-08 10:11:02,2020-03-09 05:18:37,2020-03-08 14:27:59,git://github.com/sagemath/sage.git,git@github.com:sagemath/sage.git,https://github.com/sagemath/sage.git,https://github.com/sagemath/sage,https://www.sagemath.org,236371,1133,1133,True,False,True,False,False,321,,False,False,0,321,0,1133,True,2512,sagemath/sage
333065,Python,https://api.github.com/repos/hudora/huBarcode,30916093,2009-12-14 05:42:50,2019-05-31 23:45:37,9,0,YES,2009-12-14 05:42:50,2020-02-16 14:08:59,2014-01-02 10:56:40,git://github.com/hudora/huBarcode.git,git@github.com:hudora/huBarcode.git,https://github.com/hudora/huBarcode.git,https://github.com/hudora/huBarcode,http://github.com/mdornseif/huBarcode,4268,136,136,True,True,True,False,False,72,,True,False,8,72,8,136,True,22,hudora/huBarcode
417964,Python,https://api.github.com/repos/HiSPARC/station-software,20575169,2012-02-29 15:09:45,2019-05-08 07:54:21,7,0,YES,2012-02-29 15:09:45,2020-03-02 14:51:46,2020-03-02 14:50:54,git://github.com/HiSPARC/station-software.git,git@github.com:HiSPARC/station-software.git,https://github.com/HiSPARC/station-software.git,https://github.com/HiSPARC/station-software,https://docs.hisparc.nl/station-software/,1500187,5,5,True,False,True,False,True,6,,False,False,12,6,12,5,True,226,HiSPARC/station-software
480189,Python,https://api.github.com/repos/sambler/myblenderaddons,13846336,2010-08-23 19:39:57,2019-03-11 22:42:26,8,0,YES,2010-08-23 19:39:57,2019-12-14 00:04:07,2019-11-29 06:58:50,git://github.com/sambler/myblenderaddons.git,git@github.com:sambler/myblenderaddons.git,https://github.com/sambler/myblenderaddons.git,https://github.com/sambler/myblenderaddons,http://github.com/sambler/myblender,25978,14,14,True,True,True,True,False,6,,False,False,1,6,1,14,True,1368,sambler/myblenderaddons
494272,Python,https://api.github.com/repos/hzlf/openbroadcast,21035520,2012-04-13 16:24:08,2019-04-03 22:02:58,6,0,YES,2012-04-13 16:24:08,2019-11-22 21:45:34,2014-08-27 12:33:51,git://github.com/hzlf/openbroadcast.git,git@github.com:hzlf/openbroadcast.git,https://github.com/hzlf/openbroadcast.git,https://github.com/hzlf/openbroadcast,,79075,6,6,True,True,True,True,False,3,,False,False,0,3,0,6,True,264,hzlf/openbroadcast
506900,Python,https://api.github.com/repos/jsa/gaesdk-python,43640930,2010-08-23 16:50:31,2019-04-16 06:42:27,8,0,YES,2010-08-23 16:50:31,2019-12-02 12:47:16,2019-12-02 12:48:15,git://github.com/jsa/gaesdk-python.git,git@github.com:jsa/gaesdk-python.git,https://github.com/jsa/gaesdk-python.git,https://github.com/jsa/gaesdk-python,http://code.google.com/appengine/downloads.html,49017,4,4,False,True,False,False,False,1,,False,False,2,1,2,4,True,127,jsa/gaesdk-python
680323,Python,https://api.github.com/repos/CountZer0/PipelineConstructionSet,24534027,2012-04-10 04:53:41,2019-01-20 17:58:28,6,0,YES,2012-04-10 04:53:41,2019-10-17 08:44:17,2014-11-05 17:09:06,git://github.com/CountZer0/PipelineConstructionSet.git,git@github.com:CountZer0/PipelineConstructionSet.git,https://github.com/CountZer0/PipelineConstructionSet.git,https://github.com/CountZer0/PipelineConstructionSet,,26187,28,28,True,True,True,True,True,10,,False,False,0,10,0,28,True,131,CountZer0/PipelineConstructionSet
701640,Python,https://api.github.com/repos/factorlibre/openerp-extra-6.1,12718141,2012-09-05 09:44:37,2019-05-27 20:38:38,6,0,YES,2012-09-05 09:44:37,2016-11-19 11:11:04,2013-06-25 10:45:02,git://github.com/factorlibre/openerp-extra-6.1.git,git@github.com:factorlibre/openerp-extra-6.1.git,https://github.com/factorlibre/openerp-extra-6.1.git,https://github.com/factorlibre/openerp-extra-6.1,,32226,9,9,True,True,True,True,False,35,,False,False,1,35,1,9,True,9,factorlibre/openerp-extra-6.1
728153,Python,https://api.github.com/repos/wxWidgets/Phoenix,14656526,2012-07-17 06:22:25,2019-05-31 03:07:39,6,0,YES,2012-07-17 06:22:25,2020-03-10 04:05:21,2020-03-09 19:28:13,git://github.com/wxWidgets/Phoenix.git,git@github.com:wxWidgets/Phoenix.git,https://github.com/wxWidgets/Phoenix.git,https://github.com/wxWidgets/Phoenix,http://wxpython.org/,43229,1284,1284,True,True,True,False,False,330,,False,False,298,330,298,1284,True,2379,wxWidgets/Phoenix
775232,Python,https://api.github.com/repos/iontorrent/TS,34389574,2012-01-13 15:25:43,2019-05-28 19:44:24,7,0,YES,2012-01-13 15:25:43,2020-03-05 15:29:05,2020-02-12 03:18:17,git://github.com/iontorrent/TS.git,git@github.com:iontorrent/TS.git,https://github.com/iontorrent/TS.git,https://github.com/iontorrent/TS,,762524,133,133,True,True,True,True,False,102,,False,False,27,102,27,133,True,34,iontorrent/TS
795859,Python,https://api.github.com/repos/theosp/google_appengine,51897713,2010-09-19 23:25:28,2019-03-25 05:33:08,8,0,YES,2010-09-19 23:25:28,2020-02-20 01:37:33,2014-10-17 12:22:21,git://github.com/theosp/google_appengine.git,git@github.com:theosp/google_appengine.git,https://github.com/theosp/google_appengine.git,https://github.com/theosp/google_appengine,,30686,5,5,True,True,True,True,False,2,,False,False,0,2,0,5,True,23,theosp/google_appengine
802405,Python,https://api.github.com/repos/tanghaibao/goatools,78060965,2010-01-15 19:15:21,2019-05-29 14:28:05,9,0,YES,2010-01-15 19:15:21,2020-03-06 22:11:46,2020-03-06 22:11:43,git://github.com/tanghaibao/goatools.git,git@github.com:tanghaibao/goatools.git,https://github.com/tanghaibao/goatools.git,https://github.com/tanghaibao/goatools,,49955,306,306,True,True,True,True,False,132,,False,False,24,132,24,306,True,969,tanghaibao/goatools
809314,Python,https://api.github.com/repos/freenas/freenas,14312786,2013-03-07 13:23:20,2019-05-31 04:28:55,6,0,YES,2013-03-07 13:23:20,2020-03-09 21:48:02,2020-03-10 10:17:12,git://github.com/freenas/freenas.git,git@github.com:freenas/freenas.git,https://github.com/freenas/freenas.git,https://github.com/freenas/freenas,http://www.freenas.org,544601,1465,1465,False,False,True,False,False,347,,False,False,15,347,15,1465,True,33860,freenas/freenas
829649,Python,https://api.github.com/repos/sambler/myblendercontrib,24717001,2011-11-18 02:04:49,2019-05-21 03:21:02,7,0,YES,2011-11-18 02:04:49,2020-03-06 21:32:27,2019-11-29 06:59:10,git://github.com/sambler/myblendercontrib.git,git@github.com:sambler/myblendercontrib.git,https://github.com/sambler/myblendercontrib.git,https://github.com/sambler/myblendercontrib,http://github.com/sambler/myblender,158373,44,44,True,True,True,True,False,39,,False,False,3,39,3,44,True,1232,sambler/myblendercontrib
856441,Python,https://api.github.com/repos/kanzure/nanoengineer,16249298,2012-04-28 17:22:00,2019-05-08 09:18:09,7,0,YES,2012-04-28 17:22:00,2020-01-13 03:30:24,2014-07-04 19:06:42,git://github.com/kanzure/nanoengineer.git,git@github.com:kanzure/nanoengineer.git,https://github.com/kanzure/nanoengineer.git,https://github.com/kanzure/nanoengineer,http://groups.google.com/group/nanoengineer-dev,352751,208,208,True,True,True,True,False,35,,False,False,5,35,5,208,True,256,kanzure/nanoengineer
894588,Python,https://api.github.com/repos/sparkslabs/kamaelia,19180131,2015-03-15 22:53:04,2019-04-23 11:42:00,4,0,YES,2015-03-15 22:53:04,2020-03-03 07:32:32,2017-11-02 14:43:17,git://github.com/sparkslabs/kamaelia.git,git@github.com:sparkslabs/kamaelia.git,https://github.com/sparkslabs/kamaelia.git,https://github.com/sparkslabs/kamaelia,,138198,8,8,True,True,False,False,False,6,,False,False,0,6,0,8,True,20,sparkslabs/kamaelia
901605,Python,https://api.github.com/repos/orangeduck/PyAutoC,18108029,2012-04-12 14:41:02,2019-03-10 17:42:19,6,0,YES,2012-04-12 14:41:02,2020-02-12 11:16:12,2015-10-07 20:08:48,git://github.com/orangeduck/PyAutoC.git,git@github.com:orangeduck/PyAutoC.git,https://github.com/orangeduck/PyAutoC.git,https://github.com/orangeduck/PyAutoC,,9725,58,58,True,True,True,True,False,7,,False,False,0,7,0,58,True,45,orangeduck/PyAutoC
1062235,Python,https://api.github.com/repos/sagemath/sagelib,39921406,2012-07-12 08:10:57,2019-05-04 07:35:09,6,0,YES,2012-07-12 08:10:57,2019-11-18 16:23:51,2012-07-12 08:31:39,git://github.com/sagemath/sagelib.git,git@github.com:sagemath/sagelib.git,https://github.com/sagemath/sagelib.git,https://github.com/sagemath/sagelib,,28968,21,21,True,False,True,False,False,21,,True,False,1,21,1,21,True,122,sagemath/sagelib
1069376,Python,https://api.github.com/repos/mozilla/appsync-vendor,10242135,2011-11-16 00:33:21,2019-03-29 04:50:40,7,0,YES,2011-11-16 00:33:21,2019-02-17 17:38:29,2019-03-29 04:45:31,git://github.com/mozilla/appsync-vendor.git,git@github.com:mozilla/appsync-vendor.git,https://github.com/mozilla/appsync-vendor.git,https://github.com/mozilla/appsync-vendor,,3768,0,0,True,True,True,False,False,2,,False,False,3,2,3,0,True,1,mozilla/appsync-vendor
1193745,Python,https://api.github.com/repos/mseknibilel/OpenStack-Install-and-Understand-Guide,15597918,2012-05-08 11:02:14,2019-03-05 14:27:35,6,0,YES,2012-05-08 11:02:14,2020-02-21 12:46:30,2012-05-14 08:04:30,git://github.com/bilelmsekni/OpenStack-Install-and-Understand-Guide.git,git@github.com:bilelmsekni/OpenStack-Install-and-Understand-Guide.git,https://github.com/bilelmsekni/OpenStack-Install-and-Understand-Guide.git,https://github.com/bilelmsekni/OpenStack-Install-and-Understand-Guide,,352258,14,14,True,True,True,True,False,6,,False,False,0,6,0,14,True,2,mseknibilel/OpenStack-Install-and-Understand-Guide
1432841,Python,https://api.github.com/repos/accordion-mega/AccordionMega,19140347,2010-12-08 21:44:45,2018-12-13 01:25:09,8,0,YES,2010-12-08 21:44:45,2019-09-15 20:27:43,2017-07-21 17:42:50,git://github.com/accordion-mega/AccordionMega.git,git@github.com:accordion-mega/AccordionMega.git,https://github.com/accordion-mega/AccordionMega.git,https://github.com/accordion-mega/AccordionMega,,16756,21,21,True,True,True,True,True,5,,False,False,1,5,1,21,True,2,accordion-mega/AccordionMega
1522387,Python,https://api.github.com/repos/austinsc/python,21446016,2012-10-04 15:41:10,2018-12-20 10:35:43,6,0,YES,2012-10-04 15:41:10,2019-10-30 13:19:45,2012-11-09 18:26:10,git://github.com/austinsc/python.git,git@github.com:austinsc/python.git,https://github.com/austinsc/python.git,https://github.com/austinsc/python,,48452,10,10,True,True,True,True,False,8,,False,False,0,8,0,10,True,6,austinsc/python
1974423,Python,https://api.github.com/repos/davelab6/pyfontaine,11600396,2013-01-09 16:38:32,2019-04-15 01:30:24,6,0,YES,2013-01-09 16:38:32,2020-03-05 12:05:58,2020-02-13 12:06:50,git://github.com/googlefonts/pyfontaine.git,git@github.com:googlefonts/pyfontaine.git,https://github.com/googlefonts/pyfontaine.git,https://github.com/googlefonts/pyfontaine,https://github.com/davelab6/pyfontaine,5558,65,65,True,True,True,False,False,16,,False,False,23,16,23,65,True,319,davelab6/pyfontaine
2230747,Python,https://api.github.com/repos/babble/babble,10107943,2009-01-14 20:21:32,2019-03-20 13:37:36,10,0,YES,2009-01-14 20:21:32,2019-08-13 13:53:41,2009-09-25 17:14:19,git://github.com/babble/babble.git,git@github.com:babble/babble.git,https://github.com/babble/babble.git,https://github.com/babble/babble,http://www.10gen.com/,92087,15,15,True,True,True,True,False,4,,False,False,0,4,0,15,True,102,babble/babble
2309585,Python,https://api.github.com/repos/dhoko/dotfiles,19427213,2013-01-19 14:35:58,2019-03-19 10:32:00,6,0,YES,2013-01-19 14:35:58,2020-02-28 14:50:56,2020-02-28 14:50:54,git://github.com/dhoko/dotfiles.git,git@github.com:dhoko/dotfiles.git,https://github.com/dhoko/dotfiles.git,https://github.com/dhoko/dotfiles,,43965,2,2,True,True,True,True,False,0,,False,False,1,0,1,2,True,81,dhoko/dotfiles
2467274,Python,https://api.github.com/repos/duststorm/makehuman,13552334,2013-01-31 23:36:19,2018-12-29 07:18:46,5,0,YES,2013-01-31 23:36:19,2019-12-13 03:02:29,2013-02-02 15:51:54,git://github.com/duststorm/makehuman.git,git@github.com:duststorm/makehuman.git,https://github.com/duststorm/makehuman.git,https://github.com/duststorm/makehuman,,399484,15,15,False,True,True,False,False,17,,False,False,0,17,0,15,True,102,duststorm/makehuman
2501984,Python,https://api.github.com/repos/blackberry/Python,18145723,2012-10-29 17:22:00,2019-04-23 13:31:26,6,0,YES,2012-10-29 17:22:00,2019-11-26 09:27:44,2012-10-29 21:34:03,git://github.com/blackberry/Python.git,git@github.com:blackberry/Python.git,https://github.com/blackberry/Python.git,https://github.com/blackberry/Python,,13061,9,9,True,True,True,True,False,9,,True,False,0,9,0,9,True,5,blackberry/Python
