project_id,total_commit
63,17092
1142,64542
1252,384
1490,310
8062,1
8078,3719
8081,853
8871,12006
9793,24720
9820,197
9848,8412
9850,1943
10824,47627
11453,74
13117,686
13666,1313
15083,10163
15792,549
24860,770
31723,12125
44692,972
44693,1947
45658,19584
54266,2370
55818,12866
56967,921
61630,251
62741,1112
64630,4193
69206,19549
77750,1523
85925,450
118420,52
131909,53
136554,2653
144335,147
153663,3925
160920,583
169508,287
181526,61668
188867,11
194154,106
195159,11436
199305,1233
217037,374
223352,288
223561,424
225141,29
236534,971
249264,249
252472,187
272202,87
286987,348
311137,66
318114,2050
323872,2512
324925,276
333065,22
365914,1054
394119,627
417964,226
433836,584
479620,268
480189,1368
494272,264
506900,127
514849,71
523408,422
615577,113
624271,21
638572,19
680323,131
701640,9
728153,2379
738594,8707
775232,34
789124,522
795859,23
802405,969
809314,33860
828683,70
829649,1232
844722,628
856441,256
867401,476
879058,2636
894588,20
901605,45
1042481,37
1047267,185
1047320,9
1047582,54
1062235,122
1069376,1
1193745,2
1264922,364
1367424,1759
1377690,3245
1407977,19
1430767,330
1432841,2
1522387,6
1565387,3933
1640931,7
1641194,1
1728068,3
1819919,3
1972395,19
1974423,319
2078072,266
2118187,18
2118497,7
2230747,102
2309585,81
2402456,4940
2443151,1159
2463610,63
2467274,102
2501984,5
2511063,14
2592053,240
2689873,8
2745365,76
2771113,18
2789109,25
2794780,2485
2827364,66
2847704,107
2884492,1
3010407,21
3088421,112
3094314,283
3111304,2
3182310,289
3201434,4073
3202818,148
3213843,713
3217599,78
3219077,7809
3272338,89
3314898,3469
3337398,2
3358439,688
3377808,3785
3383128,44
3428791,380
3433060,1075
3478998,69
3484948,6
3605768,379
3653125,1322
3672400,147
3743078,48
3772259,27
3780176,622
3827376,1
3867439,90
3879861,28000
3922905,17
3929178,167912
3933446,100
3940702,232
3946682,35
4022910,4
4027987,32
4040225,462
4067964,547
4086661,3190
4090191,410
4359493,361
4378847,10
4429866,17
4449031,1256
4455477,31243
4473333,2943
4483000,27
4542112,11
4550070,74
4695822,336
4723318,9
4725103,7
4748277,5342
4757690,56
4766756,782
4837138,4777
4845094,104
4892718,99
4892720,47
4928468,20
5004558,3366
5017985,4
5031541,222
5072795,4
5080558,10
5112713,58
5114635,217
5126018,45
5157401,10534
5211142,1008
5229837,4140
5293597,16
5317954,5
5337216,27
5374655,2885
5392890,564
5461038,2681
5490882,74
5515914,14
5518249,2094
5524547,34017
5531064,801
5541827,4561
5541830,192
5579320,19
5667305,105
5687787,181
5717312,93
5774282,14
5783454,91
5784380,1468
5901728,720
6065028,51
6073542,76
6120371,8
6142040,16
6197453,107
6211510,186
6367211,2053
6369242,109
6371287,273
6389567,1977
6476018,8
6509126,468
6562290,570
6647075,3
6765845,198
6788881,19
6792088,346
6809476,622
6850710,13
6858516,902
7003925,48
7012108,17
7055840,8
7233461,150
7279393,270
7296130,52
7296431,235
7332763,4
7405649,61
7422011,34
7484910,12
7517171,6
7565205,21
7589503,161
7592241,104
7657158,210
7664172,240
7667597,70
7692406,5461
7710184,47
7727109,1796
7774198,7917
7775321,2587
7808844,82
7820774,5
7834548,1443
7853555,1329
7867873,5
7889573,42
7934429,390
7948256,31
7960106,1121
7993996,128
8003146,7
8258692,882
8263008,683
8325412,421
8429554,1
8437557,893
8528162,12
8528375,54
8532710,84
8533092,137
8642892,68
8765989,145
8820741,93
8855650,514
8890284,400
8892059,23
8961082,1720
8964129,3430
8982357,84
9011315,27
9037487,199
9088211,690
9099207,223
9116541,186
9165000,66
9220450,22
9313674,233
9408755,24
9519664,19
9555207,3
9613382,137
9708068,555
9714508,369
9722770,999
9722893,166
9722998,55
9723110,15
9723116,564
9723253,229
9723361,24
9755597,123
9771080,24
9793996,222
