project_id,total_selfApprChange,total_commit_project,percent_selfApprChange
26427893,109,1226,8.890701468189233
27472783,387,1283,30.163678877630552
27489574,308,1734,17.762399077277973
28261590,216,778,27.76349614395887
28420571,1240,7444,16.657710908113916
28884786,100,1080,9.25925925925926
29379373,30,1042,2.8790786948176583
29817913,27,959,2.815432742440042
30169075,184,549,33.51548269581057
31030536,614,1148,53.484320557491294
31400029,352,1141,30.850131463628394
31657027,673,2094,32.139446036294174
32552050,6,621,0.966183574879227
34561609,27,846,3.1914893617021276
34600889,173,517,33.46228239845261
36761320,29,1124,2.580071174377224
41010830,410,565,72.56637168141593
47838894,9,1792,0.5022321428571429
51732151,290,492,58.94308943089431
11161411,0,849,0.0
27496810,0,1524,0.0
27940657,0,622,0.0
28687875,0,655,0.0
29026813,0,22,0.0
29126205,0,933,0.0
31015510,0,946,0.0
31069027,0,853,0.0
31125446,0,423,0.0
35149818,0,576,0.0
40955019,0,508,0.0
41339733,0,688,0.0
47754491,0,764,0.0
52512066,0,1829,0.0
56604179,0,1147,0.0
