project_id,author_id,total_commit_author
11161411,1377485,849
26427893,431014,29
26427893,3299666,7
26427893,8519223,107
26427893,9301274,9
26427893,9621186,771
26427893,10928528,277
26427893,34665459,9
26427893,37652814,6
26427893,40697668,2
26427893,44588932,9
27472783,111164,2
27472783,379871,35
27472783,585395,7
27472783,731616,5
27472783,1051631,5
27472783,1455830,17
27472783,2823636,568
27472783,2835021,9
27472783,2931483,149
27472783,3384277,3
27472783,3873764,5
27472783,4302753,2
27472783,6234800,11
27472783,6735932,3
27472783,8101976,111
27472783,10058563,7
27472783,10347624,3
27472783,10358033,91
27472783,10452892,128
27472783,12262979,2
27472783,30699741,24
27472783,30752854,2
27472783,33710280,13
27472783,37713417,15
27472783,38873174,62
27472783,51640695,4
27489574,77302,15
27489574,92696,1
27489574,121009,1
27489574,230603,4
27489574,826332,1
27489574,1816437,2
27489574,2464962,18
27489574,2538889,2
27489574,2709375,6
27489574,2865764,1
27489574,3092894,452
27489574,3161753,37
27489574,3505783,14
27489574,5559993,466
27489574,6793148,164
27489574,7018574,2
27489574,7226030,548
27496810,185933,18
27496810,3606030,2
27496810,7914627,120
27496810,10179626,188
27496810,10388468,72
27496810,11162864,454
27496810,11846809,307
27496810,31912515,202
27496810,32787469,75
27496810,35594804,84
27496810,36266650,2
27940657,3129544,622
28261590,683027,139
28261590,2237416,437
28261590,3377569,3
28261590,7879963,112
28261590,8866257,87
28420571,6,58
28420571,11,122
28420571,18,26
28420571,27585,5
28420571,83717,5
28420571,280868,4
28420571,2154533,114
28420571,2279519,3326
28420571,3212479,2
28420571,3992646,2
28420571,5458821,2
28420571,5856537,24
28420571,6907587,1
28420571,7549792,432
28420571,7829474,2
28420571,10410284,20
28420571,10425530,373
28420571,10478814,2457
28420571,10492493,161
28420571,10577336,13
28420571,11684513,2
28420571,13274039,186
28420571,13672575,40
28420571,32008522,3
28420571,34611091,41
28420571,38749549,23
28687875,302129,4
28687875,1785969,3
28687875,3293314,128
28687875,3549488,24
28687875,3571110,143
28687875,6589863,353
28884786,112711,2
28884786,121580,1
28884786,262687,1
28884786,280536,13
28884786,339854,27
28884786,431435,439
28884786,499800,1
28884786,666495,1
28884786,1683632,25
28884786,1788921,2
28884786,1904354,11
28884786,2219509,3
28884786,3181786,4
28884786,3217199,221
28884786,3476737,2
28884786,3763486,1
28884786,4759889,16
28884786,5444098,14
28884786,5926306,1
28884786,6616034,1
28884786,6893142,5
28884786,6961756,1
28884786,7037968,2
28884786,7103772,9
28884786,7271738,3
28884786,7507843,2
28884786,8211624,18
28884786,8582453,3
28884786,9061264,3
28884786,9529758,1
28884786,9708046,1
28884786,10056862,118
28884786,10149527,9
28884786,10585893,1
28884786,10633086,4
28884786,10952627,1
28884786,11184839,2
28884786,11622130,12
28884786,11783952,1
28884786,11963681,1
28884786,12056226,6
28884786,12445007,1
28884786,13220879,1
28884786,13439479,4
28884786,19436592,1
28884786,20267819,1
28884786,25886618,4
28884786,30382067,10
28884786,30719559,4
28884786,31268303,1
28884786,31488487,7
28884786,31576434,1
28884786,31877749,1
28884786,32135615,2
28884786,32137134,5
28884786,32907810,2
28884786,33717210,1
28884786,33778386,2
28884786,34229893,4
28884786,34886996,4
28884786,38298088,2
28884786,38641952,3
28884786,40360547,1
28884786,41336714,18
28884786,42122363,2
28884786,42611636,7
28884786,48790243,1
28884786,50365574,1
29026813,9542417,20
29026813,41582153,2
29126205,1246150,933
29379373,6059,1
29379373,16618,2
29379373,428910,11
29379373,440305,7
29379373,494483,259
29379373,891160,12
29379373,1191121,68
29379373,2981804,88
29379373,3042340,5
29379373,3308320,5
29379373,3347277,81
29379373,4878759,145
29379373,4998431,47
29379373,6633643,3
29379373,6955500,93
29379373,8188795,60
29379373,9172970,25
29379373,10115538,38
29379373,10604386,6
29379373,10634868,18
29379373,13119332,41
29379373,30378129,7
29379373,32791392,5
29379373,33299634,15
29817913,3864918,923
29817913,8720413,10
29817913,33207157,26
30169075,43395,15
30169075,51464,5
30169075,65011,4
30169075,81933,1
30169075,263230,3
30169075,349292,4
30169075,535536,4
30169075,565932,1
30169075,1462944,7
30169075,1815626,1
30169075,1891298,1
30169075,1934671,463
30169075,2356328,15
30169075,2922462,5
30169075,3460369,1
30169075,4446176,1
30169075,4622362,3
30169075,5785518,7
30169075,7280075,1
30169075,9510716,5
30169075,11520874,1
30169075,17939277,1
31015510,51295,4
31015510,55173,282
31015510,55190,130
31015510,153597,408
31015510,2554935,60
31015510,3594250,6
31015510,7730437,3
31015510,7820434,8
31015510,8325014,2
31015510,10328397,2
31015510,31045607,41
31030536,9412500,1
31030536,11151126,1147
31069027,6059,5
31069027,1451841,74
31069027,4250693,510
31069027,4276291,105
31069027,7523504,70
31069027,8800835,54
31069027,10984633,2
31069027,12410987,2
31069027,30395485,9
31069027,46248144,17
31069027,48630557,5
31125446,9730777,423
31400029,6059,1
31400029,747465,11
31400029,1449312,313
31400029,2069912,33
31400029,5083778,545
31400029,7045722,132
31400029,11000206,2
31400029,11251179,1
31400029,42237123,103
31657027,7041,149
31657027,103640,10
31657027,170523,51
31657027,1224367,1
31657027,1728305,10
31657027,2746885,1
31657027,3200429,1269
31657027,4267713,1
31657027,7059200,1
31657027,8226459,24
31657027,8405087,78
31657027,8492690,291
31657027,9302596,177
31657027,14235246,19
31657027,49082095,12
32552050,3905805,53
32552050,8820022,388
32552050,11598965,180
34561609,6190992,846
34600889,305897,514
34600889,4102336,1
