project_id,Lines of Code,L Lines of Code,S Lines of Code,Multi-line comments,Multi lines,blank lines,Single comment lines,Cyclomatic Complexity,Unique Operands,Unique Operators,Number of Operands,Number of Operators,Unique vocabulary (h1 + h2),Length of application,Code volume,Difficulty,Effort,Maintainability Index,cross-entropy_mean
11161411,126756.0,61838.0,86320.0,6438.0,16289.0,17819.0,6328.0,10252.0,1710.0,54396.0,44598.0,77367.0,56106.0,121965.0,1924103.6724498195,709342.9263157895,1364849329550.5122,0.0,4.649215466666666
26427893,36668.0,22205.0,22271.0,3739.0,3616.0,7423.0,3358.0,5195.0,602.0,19638.0,14884.0,28462.0,20240.0,43346.0,620061.1346896872,242767.43521594684,150530651345.7051,0.0,4.9535988
27472783,9213.0,4259.0,4704.0,445.0,2338.0,1745.0,426.0,1390.0,220.0,1057.0,682.0,1264.0,1277.0,1946.0,20079.8843076815,1638.3500000000001,32897878.455489986,0.0,5.120644466666667
27489574,21567.0,10203.0,11674.0,1448.0,5914.0,2604.0,1375.0,2192.0,201.0,1053.0,643.0,1195.0,1254.0,1838.0,18917.28716109015,1684.2761194029852,31861935.00931283,0.0,3.933792666666668
27496810,5134.0,3582.0,3724.0,327.0,105.0,1065.0,240.0,1055.0,177.0,1093.0,635.0,1219.0,1270.0,1854.0,19115.876097196768,1960.6073446327682,37478727.075253956,0.0,4.802755400000001
27940657,4612.0,3499.0,3728.0,285.0,1.0,642.0,242.0,1084.0,223.0,785.0,455.0,880.0,1008.0,1335.0,13319.668697872388,800.8408071748878,10666934.23130621,0.0,4.652295733333332
28261590,19723.0,11016.0,13820.0,1129.0,1320.0,3600.0,983.0,2358.0,610.0,4853.0,3590.0,6953.0,5463.0,10543.0,130896.38147225995,14280.549180327867,1869272213.1415656,0.0,3.921776
28420571,104777.0,40586.0,46643.0,8055.0,27872.0,20983.0,9279.0,8716.0,2016.0,17518.0,13903.0,25328.0,19534.0,39231.0,559186.8961230905,60404.948908730155,33777655890.74668,0.0,4.539704933333334
28687875,141630.0,72615.0,123414.0,3820.0,1535.0,12784.0,3897.0,1027.0,96.0,635.0,380.0,719.0,731.0,1099.0,10455.586627951729,1256.7708333333335,13140276.319399752,0.0,3.1758345666666665
28884786,40262.0,16867.0,25711.0,3258.0,6597.0,5751.0,2203.0,5039.0,712.0,5655.0,4134.0,7866.0,6367.0,12000.0,151636.77658660605,16416.97331460674,2489416914.735296,0.0,3.2988986599999994
29026813,7647.0,5078.0,5614.0,307.0,173.0,1560.0,300.0,1631.0,207.0,1621.0,1009.0,1886.0,1828.0,2895.0,31370.365777893112,3950.6980676328503,123934843.45965801,0.0,4.614163333333334
29126205,7886.0,4568.0,4459.0,1341.0,394.0,1813.0,1220.0,657.0,177.0,3704.0,2513.0,4885.0,3881.0,7398.0,88200.52968617676,26294.214689265536,2319163663.27527,0.0,4.408126266666667
29379373,7086.0,4693.0,5327.0,370.0,265.0,1135.0,359.0,1016.0,265.0,1808.0,1085.0,2126.0,2073.0,3211.0,35377.20663196233,3701.2830188679245,130941054.16186391,0.0,3.1569712000000005
29817913,19844.0,11636.0,14300.0,708.0,765.0,3246.0,1533.0,2606.0,146.0,368.0,227.0,394.0,514.0,621.0,5592.492845049399,286.0821917808219,1599912.6106302966,0.0,3.3714758666666658
30169075,5486.0,2308.0,3124.0,624.0,922.0,1029.0,411.0,560.0,93.0,732.0,452.0,854.0,825.0,1306.0,12652.85490372793,1778.8387096774195,22507388.090683002,0.0,6.4855247999999985
31015510,16835.0,10620.0,13415.0,912.0,158.0,2408.0,854.0,1651.0,171.0,1454.0,1085.0,1991.0,1625.0,3076.0,32809.30503262258,4612.836257309941,151343951.83162296,0.0,2.6154954
31030536,8824.0,3636.0,6600.0,340.0,253.0,1690.0,281.0,1044.0,169.0,827.0,506.0,957.0,996.0,1463.0,14571.482826615604,1238.05325443787,18040271.73547698,0.0,4.1416336000000005
31069027,16230.0,6620.0,9971.0,4412.0,285.0,1620.0,4354.0,2869.0,499.0,2727.0,1712.0,3269.0,3226.0,4981.0,58056.19853203826,4677.9799599198395,271585733.28200257,0.0,3.995902333333333
31125446,1872.0,1199.0,1205.0,438.0,1.0,229.0,438.0,267.0,102.0,932.0,657.0,1275.0,1034.0,1932.0,19347.08754864845,3001.5882352941176,58071990.3732285,0.0,3.3857412666666664
31400029,9767.0,4102.0,6640.0,862.0,421.0,1955.0,751.0,897.0,118.0,491.0,311.0,589.0,609.0,900.0,8325.268576115699,647.0381355932203,5386766.257802726,0.0,3.1308006733333333
